cpg,decision
cg21823101,Rejected
cg15376949,Rejected
cg16442226,Rejected
cg14027857,Rejected
cg06458732,Rejected
cg00666978,Rejected
cg04985652,Rejected
cg23275463,Rejected
cg12024328,Rejected
cg22732432,Rejected
cg16328540,Confirmed
cg05308900,Rejected
cg05857979,Rejected
cg24855730,Rejected
cg15399604,Rejected
cg19579903,Rejected
cg06362065,Rejected
cg00586909,Rejected
cg26721264,Rejected
cg04897621,Rejected
cg10685559,Rejected
cg06772644,Rejected
cg05598969,Rejected
cg04880751,Rejected
cg15225701,Rejected
cg18097281,Rejected
cg10498361,Rejected
cg08288226,Rejected
cg20192481,Rejected
cg00300039,Rejected
cg06170754,Rejected
cg24743639,Rejected
cg03346802,Rejected
cg24144175,Rejected
cg20135607,Rejected
cg26385438,Rejected
cg07574621,Rejected
cg01714890,Rejected
cg19792908,Rejected
cg27191131,Rejected
cg18924222,Confirmed
cg09504398,Rejected
cg00963305,Rejected
cg11334838,Rejected
cg14353079,Rejected
cg26207201,Rejected
cg01848594,Rejected
cg19407459,Rejected
cg25418007,Rejected
cg12949807,Rejected
cg26246658,Rejected
cg24591318,Rejected
cg15571376,Rejected
cg18039643,Rejected
cg06746360,Rejected
cg04017458,Rejected
cg00992385,Rejected
cg02584969,Rejected
cg25623977,Rejected
cg03827423,Rejected
cg16483840,Rejected
cg26930584,Rejected
cg10410170,Rejected
cg27481208,Rejected
cg08593668,Rejected
cg13063357,Rejected
cg11332441,Rejected
cg26027796,Rejected
cg10541313,Rejected
cg06937548,Rejected
cg26450944,Rejected
cg27449651,Rejected
cg12222574,Rejected
cg06131526,Rejected
cg16393012,Rejected
cg00068621,Rejected
cg09106817,Rejected
cg14845385,Rejected
cg01148786,Rejected
cg26525486,Rejected
cg13470919,Rejected
cg15769201,Rejected
cg23511613,Rejected
cg23806715,Rejected
cg24331312,Rejected
cg20279673,Rejected
cg04546950,Rejected
cg17506056,Rejected
cg02818811,Rejected
cg23246978,Rejected
cg19459834,Rejected
cg15937634,Rejected
cg23806084,Rejected
cg02504465,Rejected
cg13033090,Rejected
cg02215070,Rejected
cg01073375,Rejected
cg01642168,Rejected
cg26924012,Rejected
cg17166258,Rejected
cg08267614,Rejected
cg03649649,Rejected
cg20483690,Rejected
cg14519036,Rejected
cg18823846,Rejected
cg23202316,Rejected
cg13821008,Rejected
cg13849422,Rejected
cg04954144,Rejected
cg14198223,Rejected
cg17484629,Confirmed
cg05718343,Rejected
cg27031435,Rejected
cg12520919,Rejected
cg02945007,Rejected
cg05162533,Rejected
cg27130302,Rejected
cg05926280,Rejected
cg18912520,Rejected
cg18866106,Rejected
cg15418155,Rejected
cg18091469,Rejected
cg07159858,Rejected
cg08462306,Rejected
cg06062519,Rejected
cg01310019,Rejected
cg16174301,Rejected
cg15085322,Rejected
cg08626560,Rejected
cg23157971,Rejected
cg08294750,Rejected
cg12538400,Rejected
cg05221369,Rejected
cg22618571,Rejected
cg08206898,Rejected
cg16003500,Rejected
cg24568245,Rejected
cg00165639,Rejected
cg26165853,Rejected
cg04379969,Rejected
cg09985530,Rejected
cg26959053,Rejected
cg16469426,Rejected
cg01001468,Rejected
cg01990225,Rejected
cg05972047,Rejected
cg01051546,Rejected
cg16476890,Rejected
cg14962032,Rejected
cg10559416,Rejected
cg08502490,Rejected
cg12900942,Rejected
cg27196691,Rejected
cg21820436,Rejected
cg06420049,Rejected
cg25543316,Rejected
cg09679897,Rejected
cg26555463,Rejected
cg03039025,Confirmed
cg21973275,Rejected
cg01641455,Rejected
cg03913924,Rejected
cg25496071,Rejected
cg05144432,Rejected
cg00558737,Rejected
cg19877371,Rejected
cg12239750,Rejected
cg00932688,Rejected
cg08540602,Rejected
cg26594331,Rejected
cg26632494,Rejected
cg26935619,Rejected
cg13795465,Rejected
cg10443987,Rejected
cg11836012,Rejected
cg04589027,Rejected
cg10286310,Rejected
cg02811312,Rejected
cg24942272,Rejected
cg06643390,Rejected
cg06785302,Rejected
cg21468825,Rejected
cg23988749,Rejected
cg12832355,Rejected
cg12600418,Rejected
cg12033781,Rejected
cg26796396,Rejected
cg19564098,Rejected
cg21284119,Confirmed
cg17665164,Rejected
cg13445358,Rejected
cg14022881,Rejected
cg16846653,Rejected
cg09108797,Rejected
cg22335490,Rejected
cg26286805,Rejected
cg23537517,Rejected
cg10638599,Rejected
cg11228113,Rejected
cg26891576,Rejected
cg02062326,Rejected
cg20784525,Rejected
cg11079525,Rejected
cg26775843,Confirmed
cg14284289,Rejected
cg06350353,Rejected
cg25027091,Rejected
cg05804587,Rejected
cg14581887,Rejected
cg05747376,Rejected
cg10797910,Rejected
cg13565723,Rejected
cg00030422,Rejected
cg11054680,Rejected
cg24922817,Rejected
cg06802812,Rejected
cg05635455,Rejected
cg11190156,Rejected
cg15642704,Rejected
cg03511806,Rejected
cg06244522,Rejected
cg10822593,Rejected
