cpg,PT01,PT02,PT03,PT04,PT05,PT06,PT07,PT08,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT67,PT68,PT69,PT70,PT71,PT72,PT73,PT74,PT75,PT76,PT77,PT78,PT79,PT80
cg02634916,0.6325402,0.659403,0.09701493,0.09835753,0.7236138,0.7037063,0.6597794,0.7270111,0.07129534,0.6777992,0.06360101,0.6625773,0.6986561,0.6521235,0.6926272,0.5753269,0.6668867,0.6553718,0.7013723,0.6761923,0.6370587,0.7018442,0.678712,0.6528712,0.6458604,0.6999708,0.6791471,0.6796264,0.06150628,0.07303601,0.08250265,0.06583477,0.09920155,0.6404952,0.7022526,0.1118614,0.083175,0.6885511,0.723301,0.5814846,0.6250578,0.6451328,0.6715342,0.5883839,0.09305963,0.685284,0.08151718,0.6794264,0.6849476,0.6877122,0.1240232,0.7000847,0.09672949,0.703198,0.7229538,0.05305624,0.702356,0.7069138,0.08636017,0.7007058,0.07593664,0.681391,0.6776814,0.6636313,0.6179743,0.6529692,0.6492519,0.1136091,0.09290902,0.1087218,0.7144217,0.5943542,0.6585416,0.6803797,0.6472903,0.6431172,0.6634832,0.08166877,0.1170762
cg02637222,0.9267933,0.9322709,0.9527674,0.6711926,0.9457495,0.6910021,0.7217653,0.7540424,0.9414915,0.6793893,0.9491012,0.6574649,0.6861925,0.946768,0.9530178,0.9361702,0.9532954,0.9483323,0.942959,0.9409532,0.6930608,0.9426386,0.9436347,0.9403366,0.1086502,0.655897,0.06876061,0.7278481,0.6932026,0.6823704,0.9499124,0.06876791,0.9510345,0.9476401,0.9452403,0.7239898,0.7154643,0.9490536,0.9517603,0.9377129,0.05946201,0.9483934,0.9583714,0.9392185,0.9472218,0.958551,0.9587892,0.6514045,0.6830357,0.9537966,0.9405848,0.7330647,0.9500415,0.9558301,0.7393605,0.6965824,0.9462069,0.6857662,0.9596232,0.02569249,0.9556802,0.9526649,0.9569873,0.9419036,0.9428045,0.9325961,0.6587301,0.9390724,0.9567037,0.9464861,0.7339169,0.0354419,0.9545633,0.9522452,0.6798283,0.9512712,0.7027302,0.9562359,0.07055961
cg02649608,0.6298507,0.6502292,0.1457027,0.1318652,0.6647003,0.7080556,0.668957,0.7093748,0.1029558,0.6275392,0.101477,0.6751879,0.6702839,0.6292092,0.635709,0.6328039,0.6843466,0.6471818,0.6632683,0.6981525,0.6320233,0.6964356,0.6657983,0.637455,0.6546711,0.6577083,0.6878792,0.6815998,0.1200831,0.1245343,0.1470227,0.1051808,0.1381048,0.6341447,0.6887379,0.1264329,0.1398181,0.7089913,0.7296515,0.6491084,0.6388608,0.639781,0.6679265,0.6485579,0.1434319,0.6802222,0.1337122,0.6737985,0.6529879,0.6915915,0.138343,0.6408461,0.1441148,0.691151,0.7118419,0.1188156,0.6740411,0.6987063,0.1087324,0.7146631,0.1347858,0.6862406,0.6816025,0.6934943,0.6499375,0.6466757,0.6451653,0.1429652,0.1241145,0.1009012,0.702753,0.6249405,0.6563525,0.6101344,0.6376057,0.6705489,0.6572925,0.1126578,0.1030911
cg02679322,0.9434839,0.9426662,0.6629974,0.04878869,0.6719847,0.9350418,0.7159124,0.7103059,0.9477813,0.9423609,0.9470519,0.05007887,0.9661137,0.9541431,0.95095,0.03906936,0.6539723,0.9355873,0.6932544,0.04938516,0.6720906,0.9455172,0.9521832,0.02554304,0.9448695,0.9486267,0.9360269,0.9491304,0.9195639,0.0411935,0.6615176,0.9375783,0.6669965,0.6901345,0.9505253,0.9505699,0.6945735,0.7210543,0.9520732,0.9419989,0.6765085,0.9571994,0.05940402,0.9446926,0.7104067,0.8513196,0.9571912,0.03787539,0.9350206,0.7029958,0.955369,0.05128774,0.7124345,0.7041234,0.7099562,0.0459286,0.6704395,0.6925557,0.05223411,0.701808,0.6909283,0.9459711,0.7128233,0.9570273,0.9371302,0.6270683,0.6504855,0.9513417,0.6851917,0.701,0.670582,0.03127506,0.6617357,0.9340779,0.9365513,0.6803833,0.9506233,0.9593167,0.6983484
cg02696431,0.6687023,0.6787049,0.2455478,0.2127273,0.6862807,0.7542857,0.7073628,0.6809726,0.1431452,0.6689516,0.1059349,0.6809426,0.7008158,0.7322017,0.6953767,0.6610169,0.7296171,0.6135926,0.6897888,0.6330214,0.7525163,0.7724182,0.6938484,0.5731651,0.6525961,0.6958488,0.7162189,0.7174825,0.114462,0.1426554,0.1183733,0.1595677,0.1626016,0.6965174,0.6419634,0.1656479,0.1484904,0.7189988,0.8045728,0.662313,0.6118143,0.7633438,0.7119038,0.7249382,0.1522293,0.6399618,0.1732673,0.6905139,0.6969697,0.6644009,0.1435523,0.7353057,0.1696505,0.6522905,0.7440964,0.1640058,0.6584528,0.6647327,0.1290323,0.6824507,0.1149425,0.7495763,0.7439092,0.7112438,0.6914356,0.6402668,0.6559776,0.1863824,0.1758767,0.2512676,0.6866528,0.665776,0.6904181,0.7521636,0.7309942,0.7229784,0.6782187,0.1601001,0.06696716
cg02702444,0.7180851,0.4568296,0.8155606,0.8051732,0.5543672,0.1571072,0.7953337,0.1777778,0.08396947,0.5457291,0.1134615,0.4850948,0.7675713,0.8293898,0.7845711,0.8080134,0.1170839,0.7970419,0.808908,0.5697774,0.6437566,0.8132576,0.1103979,0.7899752,0.8189209,0.6983857,0.5137362,0.5498795,0.7740196,0.8326551,0.7993327,0.7925134,0.8188371,0.8214909,0.4705117,0.7992039,0.1526176,0.8209468,0.1161695,0.05890702,0.5507014,0.8215172,0.7512308,0.559633,0.8138564,0.5348231,0.5536753,0.07862069,0.8245614,0.843877,0.1098326,0.7850757,0.8327465,0.5877395,0.6187349,0.8360242,0.5764706,0.8235294,0.7681336,0.5728514,0.09307359,0.1032864,0.04412642,0.8372018,0.5351692,0.7896739,0.5817919,0.1336634,0.1072368,0.1406393,0.5633656,0.02337814,0.07658402,0.7458867,0.6079309,0.07007467,0.5523179,0.1144726,0.6988457
cg02720188,0.5897695,0.7004007,0.107483,0.1262956,0.6873878,0.7547984,0.6968581,0.7085123,0.1171074,0.6641968,0.08607266,0.684423,0.6911746,0.637531,0.655368,0.5821452,0.6507286,0.6193171,0.5965343,0.648933,0.6918434,0.6416076,0.5651909,0.6677721,0.6640798,0.6639899,0.5957646,0.5992367,0.1494312,0.09548611,0.1401015,0.115021,0.1127995,0.6516209,0.6985404,0.1318011,0.1189405,0.671644,0.7369754,0.524514,0.6074322,0.5810209,0.6930926,0.6788534,0.09189469,0.6131621,0.1352441,0.6431507,0.6450818,0.6162751,0.09816754,0.6990581,0.1419185,0.6366809,0.7009887,0.09004525,0.6583118,0.5977293,0.09385666,0.658314,0.1146497,0.7044277,0.6877278,0.6397312,0.6903173,0.5817496,0.5788904,0.1625694,0.1073826,0.1217441,0.6698953,0.5957168,0.6201931,0.5964556,0.7125773,0.6453857,0.6503353,0.1176171,0.1447273
cg02742139,0.6399894,0.5922305,0.1366834,0.1391013,0.6247087,0.7011494,0.6572885,0.7191201,0.07249323,0.6127049,0.09862523,0.6271734,0.6176915,0.6214834,0.6231574,0.5663801,0.5951758,0.6110444,0.5659541,0.5632303,0.6447725,0.6074678,0.6368382,0.5556151,0.6080871,0.6363889,0.5798519,0.5772126,0.1231343,0.06060606,0.07576544,0.09377093,0.04022526,0.6295841,0.6089876,0.05639308,0.05707762,0.6470868,0.6984801,0.5917673,0.540864,0.5245114,0.5908266,0.6135892,0.06807512,0.6524894,0.09922823,0.5727956,0.6145523,0.6109445,0.1109626,0.6360424,0.05068791,0.6198613,0.6496991,0.05209581,0.6402823,0.6389785,0.09415384,0.5526316,0.1093843,0.6287496,0.6331841,0.6004409,0.5996218,0.5831893,0.6540484,0.1001437,0.08005308,0.1174089,0.686227,0.5877342,0.5804061,0.6042444,0.5837515,0.6947602,0.6578221,0.1176136,0.08554913
cg02743437,0.1889401,0.5633864,0.7459191,0.7525812,0.8187421,0.85458,0.4051546,0.7531953,0.6992321,0.2367223,0.1964856,0.7236015,0.6657779,0.2409449,0.7982273,0.6613418,0.6128315,0.1200686,0.8097657,0.7572201,0.2487884,0.7774665,0.6895951,0.8145044,0.6410574,0.1641221,0.8077455,0.7093431,0.7759216,0.7747869,0.731652,0.5371248,0.6666667,0.7500986,0.2917093,0.7321925,0.1762871,0.8121348,0.6284304,0.7870921,0.716145,0.6900113,0.6554315,0.6270251,0.1514143,0.8854231,0.2283465,0.6272936,0.8473632,0.8310022,0.7717345,0.6562909,0.2766323,0.2627986,0.7930664,0.1945607,0.8392763,0.7606015,0.2696011,0.7628667,0.7922719,0.7751623,0.2310127,0.2217195,0.365625,0.7855428,0.2616034,0.7759892,0.7601267,0.8185322,0.7950084,0.1733871,0.6084159,0.8009392,0.03483607,0.8715761,0.7812937,0.2780549,0.8421941
cg02756511,0.6245136,0.6718658,0.1415712,0.1798769,0.6916993,0.6864735,0.7234151,0.6886643,0.1293122,0.605724,0.1335692,0.6669782,0.6775233,0.6772912,0.7052801,0.6791743,0.6647893,0.6349481,0.6909819,0.7073993,0.6780282,0.7015588,0.6691385,0.6490466,0.6950252,0.706293,0.7142466,0.6887887,0.1369427,0.1321852,0.1156807,0.128257,0.1277726,0.627991,0.674171,0.1411319,0.1762415,0.6814145,0.7466962,0.6560221,0.6933759,0.6783944,0.7035065,0.6938834,0.1298671,0.6943579,0.116701,0.6899824,0.6743369,0.6914598,0.1505913,0.7257217,0.1394844,0.7034737,0.7418908,0.1320583,0.6805417,0.6950375,0.1362908,0.7351594,0.1462986,0.712227,0.7104244,0.6781263,0.7147692,0.6717275,0.6875669,0.2119873,0.1088034,0.1383969,0.6677082,0.6460873,0.6591626,0.6580026,0.692823,0.7046355,0.6655536,0.1461916,0.09913259
cg02761375,0.396648,0.4624413,0.5245901,0.9040506,0.4612159,0.3235294,0.4902998,0.9259347,0.9268677,0.8956024,0.2651934,0.8934169,0.895721,0.8986332,0.2462006,0.2303665,0.8919024,0.9202716,0.3530997,0.3596215,0.3819242,0.3163017,0.1601942,0.8727125,0.2593583,0.9202219,0.2464589,0.2965116,0.9356525,0.8977314,0.908223,0.2982456,0.8872712,0.3027778,0.2298851,0.9335266,0.9233322,0.3545232,0.8946471,0.925779,0.871219,0.4011976,0.9383944,0.3036649,0.9369198,0.9072316,0.3415841,0.8918291,0.9147877,0.9343066,0.9480462,0.926684,0.9033965,0.4377104,0.9413448,0.1625,0.898978,0.8976249,0.9038247,0.8966116,0.9217135,0.9031442,0.3125,0.9142229,0.8865614,0.3003003,0.433145,0.06521739,0.9181791,0.8872072,0.8911317,0.9110442,0.8696529,0.8896722,0.05882353,0.9079154,0.9207757,0.3190883,0.8993378
cg02770249,0.6055108,0.6044967,0.05612019,0.0660299,0.6140339,0.5870245,0.5959696,0.6035433,0.04770932,0.5712708,0.04222915,0.5823773,0.5859063,0.5972463,0.5861566,0.612033,0.5933121,0.601315,0.6217883,0.5992504,0.6292335,0.6037224,0.5581715,0.5479842,0.5978939,0.6184459,0.5746395,0.6296784,0.04922402,0.04340195,0.057709,0.05618697,0.06433731,0.6025808,0.6014872,0.05950901,0.05455137,0.5946354,0.5843713,0.5818694,0.5614437,0.5982577,0.5797532,0.6021574,0.06274834,0.593147,0.05623472,0.5806146,0.5952699,0.6102726,0.06201828,0.5879878,0.0373956,0.5775791,0.6203353,0.03570248,0.6032898,0.5843652,0.04027452,0.593843,0.05405406,0.5584148,0.5867208,0.5547621,0.6036709,0.5992304,0.6080433,0.06447329,0.06904145,0.07450055,0.6099599,0.598768,0.5937427,0.569471,0.6009567,0.5984808,0.5812012,0.04176072,0.0603959
cg02772171,0.1182213,0.8864054,0.6730154,0.6564864,0.6572956,0.1302857,0.5839282,0.9504132,0.643155,0.6307096,0.9084148,0.8982097,0.641558,0.1137255,0.8810617,0.6110892,0.5915546,0.6455337,0.1008304,0.09139184,0.7379962,0.114237,0.6703425,0.1151678,0.9077702,0.6162397,0.6526278,0.8916516,0.638817,0.6504425,0.640094,0.6272247,0.6318074,0.9153231,0.8648129,0.9161229,0.1366015,0.0850554,0.7086893,0.109451,0.6396761,0.6417464,0.1271478,0.640574,0.6878279,0.69397,0.1643543,0.6187633,0.9153481,0.1353097,0.682071,0.9134741,0.6814541,0.7091044,0.7019789,0.1173285,0.1341883,0.9141673,0.6942163,0.6952798,0.6577778,0.6863222,0.8906001,0.6771435,0.8846847,0.09558041,0.6421513,0.6402089,0.9155142,0.9201016,0.6748705,0.5876055,0.6180964,0.8775733,0.1300165,0.6772519,0.6829634,0.9218296,0.8759027
cg02773151,0.6461087,0.6628015,0.1812796,0.1794258,0.6931372,0.7166161,0.7231531,0.7352839,0.2144638,0.6730857,0.1546763,0.7464675,0.6437768,0.647585,0.6445758,0.5296581,0.6453089,0.6934083,0.6812675,0.6315519,0.7490741,0.650026,0.6772575,0.7093791,0.6757396,0.7124183,0.7273829,0.7206455,0.1891892,0.2134063,0.197561,0.1007752,0.205988,0.6607211,0.6700168,0.1502959,0.1196682,0.7638835,0.7288293,0.7138434,0.6782946,0.6032448,0.704785,0.6845915,0.1462687,0.6987342,0.1969532,0.6400626,0.6248839,0.7180931,0.1548619,0.6437749,0.1548295,0.7464342,0.7650236,0.1458333,0.7488806,0.7055921,0.1093525,0.7359322,0.1310861,0.6800174,0.7436941,0.7504959,0.7009979,0.7387078,0.6611151,0.1798781,0.1658391,0.1444934,0.6721975,0.694781,0.6398026,0.7515812,0.6984661,0.6829161,0.6314655,0.1316489,0.1944809
cg02794321,0.637478,0.6536329,0.01761886,0.01690425,0.6587816,0.6553932,0.6609541,0.6713725,0.01861897,0.6310098,0.01246798,0.6639662,0.6494193,0.6487043,0.6293428,0.639006,0.6912973,0.6608871,0.6383379,0.6637067,0.6496447,0.6491361,0.6275554,0.6739978,0.6757808,0.6583843,0.6836386,0.6670267,0.01470588,0.01866203,0.006120125,0.01812866,0.01668557,0.6494342,0.6118138,0.02404569,0.009938947,0.6339036,0.6433563,0.6700861,0.6253144,0.6399565,0.621716,0.663985,0.02889577,0.6389022,0.01676301,0.6603801,0.6554521,0.6270753,0.02318746,0.6424062,0.01915709,0.6464477,0.6578947,0.02045277,0.6566813,0.6318385,0.0188378,0.6495108,0.02148438,0.6307285,0.6285214,0.6245533,0.6422685,0.6362525,0.6311252,0.02994012,0.02188955,0.0242288,0.6764995,0.646333,0.6342403,0.6674925,0.6396509,0.6275921,0.6558403,0.02865854,0.009029963
cg02814135,0.09318148,0.07830703,0.5824422,0.1121026,0.6650394,0.9081684,0.9191821,0.6236238,0.539616,0.07509506,0.8994508,0.5365006,0.8876773,0.9366629,0.8962432,0.5363703,0.5594714,0.6184238,0.5592548,0.6634862,0.9271622,0.909201,0.9171048,0.6035891,0.9052354,0.6095512,0.5942822,0.8963464,0.07402053,0.08375752,0.8811189,0.536651,0.9101198,0.579569,0.6297256,0.8996465,0.08529945,0.6353952,0.6591422,0.5989209,0.5671729,0.5975442,0.6092616,0.8914583,0.903703,0.6326303,0.6564916,0.5414491,0.630838,0.9187247,0.6209978,0.9255778,0.6011873,0.6442991,0.9152312,0.910681,0.6378998,0.9202821,0.08563209,0.6373881,0.9230182,0.6391194,0.8981057,0.8967749,0.5829647,0.5568601,0.06859863,0.5940504,0.08005115,0.6537995,0.9441801,0.5776294,0.5509993,0.5416797,0.9082263,0.07927319,0.8893141,0.9093431,0.5590713
cg02819655,0.5995039,0.1237345,0.880098,0.6271073,0.9008406,0.6089828,0.1044625,0.09038829,0.08285714,0.06053184,0.8893443,0.5987023,0.829935,0.6430504,0.602118,0.6002967,0.7777521,0.6527662,0.6312,0.08462796,0.8855783,0.09098604,0.6448088,0.8567415,0.8875026,0.5228996,0.5597161,0.07247628,0.5957133,0.6176183,0.5970339,0.08748906,0.05783341,0.08475281,0.5764169,0.6163082,0.9066229,0.6747668,0.7128736,0.6220767,0.6065757,0.6383688,0.6068771,0.0377907,0.6297482,0.680114,0.6783124,0.8101818,0.07217004,0.6401515,0.1383824,0.6554935,0.6384681,0.8852955,0.6876467,0.05841121,0.6204696,0.6399658,0.6183206,0.682084,0.6554121,0.6573372,0.598916,0.8907476,0.05519356,0.5957047,0.0820061,0.8624788,0.0981958,0.8851931,0.8921344,0.5752109,0.7849822,0.5612686,0.04504504,0.6219393,0.08265857,0.887412,0.7728482
cg02823329,0.9327374,0.6742793,0.652147,0.9458036,0.9454121,0.05333744,0.944987,0.6470937,0.630502,0.9382549,0.6478553,0.9424078,0.6713833,0.9408349,0.6258647,0.9306159,0.06061674,0.6307809,0.6518816,0.9457838,0.9426685,0.9519489,0.6723492,0.9494473,0.9501893,0.9311457,0.9426964,0.9427838,0.9396054,0.9471169,0.9320021,0.6458585,0.9480433,0.05360825,0.9412365,0.9598784,0.9496295,0.6732464,0.9587023,0.9452235,0.6302719,0.9435909,0.6386079,0.9430298,0.6269621,0.9398999,0.9502339,0.9288781,0.0442326,0.6461298,0.6333944,0.9446645,0.6061488,0.6543166,0.946311,0.9488518,0.9521465,0.6021147,0.9361382,0.6290536,0.03267974,0.9404734,0.04676322,0.9365909,0.9394882,0.6141602,0.06754947,0.9355429,0.9569922,0.9535544,0.9575696,0.6344076,0.04888292,0.9385636,0.6571482,0.9508722,0.04034752,0.5951052,0.6528451
cg02832783,0.58581,0.5957248,0.1546025,0.1454286,0.6524642,0.9352673,0.9462196,0.9378295,0.1098077,0.9219314,0.9111168,0.9090748,0.1467298,0.6555048,0.9144112,0.1238914,0.9085532,0.6131427,0.9305274,0.6523894,0.6403548,0.9449564,0.6579586,0.9148676,0.6366943,0.6401803,0.6581134,0.6386337,0.921117,0.13019,0.9200659,0.602121,0.934794,0.6493642,0.9216296,0.6676402,0.9352053,0.9410307,0.9465142,0.6128241,0.6157813,0.9243772,0.9154268,0.145173,0.6542345,0.9307235,0.9298233,0.9170077,0.6431632,0.6519201,0.1310932,0.1477145,0.6451707,0.6729743,0.7018541,0.9240147,0.6603342,0.9347752,0.9322972,0.6824524,0.1486747,0.6837516,0.7,0.9144707,0.6466407,0.9036934,0.922544,0.9018462,0.6531466,0.6790773,0.6474883,0.9340377,0.9108965,0.1351847,0.9176132,0.1375254,0.9326908,0.9200534,0.6806259
cg02856402,0.3467337,0.3846154,0.3439597,0.9384452,0.9297677,0.1319911,0.9404609,0.9419763,0.9167259,0.9196416,0.9417748,0.4068182,0.1714286,0.9403203,0.9415843,0.1464286,0.9347726,0.2058111,0.3333333,0.9361517,0.1042345,0.3106509,0.9304205,0.9092612,0.9319039,0.9223788,0.3282828,0.9397944,0.922754,0.9324417,0.932394,0.2505643,0.926213,0.3787879,0.3424318,0.936354,0.4290909,0.4746667,0.9438686,0.9271249,0.1555556,0.3893617,0.2935323,0.2192982,0.2965686,0.4,0.3397548,0.9224005,0.9299014,0.9467919,0.9398787,0.326087,0.3741007,0.3306878,0.2348066,0.2790055,0.2712215,0.9404779,0.3075,0.3246073,0.9329571,0.9456293,0.3550914,0.9336112,0.9272752,0.2837838,0.1822034,0.9373322,0.931196,0.9458532,0.4103896,0.9261135,0.9359717,0.3368644,0.9210626,0.3451087,0.3365571,0.9290168,0.2813559
cg02863943,0.13592,0.1888984,0.1727134,0.7066449,0.6984803,0.7362443,0.178141,0.945147,0.6906574,0.6735992,0.1392805,0.7015907,0.7046311,0.942004,0.7232944,0.9168399,0.1460409,0.6877524,0.143798,0.7061654,0.150157,0.1485198,0.1975031,0.1114667,0.1611204,0.1747492,0.1350346,0.1559348,0.7322865,0.7151196,0.7125283,0.67642,0.1502965,0.1623277,0.941844,0.1674817,0.1606662,0.7510216,0.1353511,0.6756918,0.7266237,0.7150306,0.7138648,0.9401601,0.7121662,0.1411606,0.7289889,0.6834254,0.1669257,0.940378,0.7150156,0.178583,0.1797612,0.756,0.1938681,0.6967368,0.9364237,0.9447372,0.1368884,0.7254327,0.7111863,0.1594714,0.7440577,0.1953859,0.1598901,0.1456522,0.123084,0.7173237,0.713697,0.1603875,0.9474065,0.6904504,0.1302267,0.6691706,0.701547,0.1412575,0.7086852,0.1586093,0.1463581
cg02871887,0.6636298,0.6931782,0.07807174,0.08377553,0.7172804,0.7192773,0.7404231,0.760604,0.07690935,0.6793149,0.07002315,0.6820253,0.7135763,0.6885677,0.6778776,0.6537155,0.6987844,0.6740002,0.6776844,0.7077977,0.6965187,0.7059594,0.7098536,0.6730528,0.6791701,0.71167,0.6737646,0.6755319,0.07211268,0.08002314,0.08204856,0.07789212,0.0887128,0.698318,0.7049102,0.08542714,0.08472512,0.7215208,0.7563031,0.6749309,0.6749769,0.6985314,0.6802326,0.6693785,0.08825183,0.7277285,0.1012487,0.6696861,0.6945685,0.6905857,0.08998164,0.7124884,0.0879608,0.7302981,0.738077,0.08105525,0.7413966,0.7045565,0.06590004,0.7288048,0.08835427,0.6911055,0.7449178,0.6836595,0.7213356,0.6538192,0.6912597,0.09018488,0.09798915,0.09774058,0.7455167,0.6372605,0.6664466,0.6828676,0.6785972,0.6946204,0.7145342,0.0883806,0.06485495
cg02877261,0.6149918,0.8958065,0.6597654,0.6347662,0.9226721,0.9140179,0.1019108,0.6598334,0.06922887,0.6145353,0.6335818,0.6433715,0.8908923,0.06584362,0.8734932,0.5837544,0.5876512,0.9225746,0.07095344,0.9185405,0.8968703,0.6573404,0.9151335,0.6090958,0.8907319,0.05179856,0.0632026,0.06582901,0.8938524,0.6398112,0.6565872,0.5779593,0.6560671,0.1247702,0.8702374,0.07452055,0.09916338,0.6648328,0.9310191,0.9034622,0.6247403,0.9154907,0.5981888,0.6524007,0.06760493,0.6749495,0.872595,0.06781068,0.6433566,0.6823678,0.08121972,0.6975531,0.08170458,0.06871961,0.9080868,0.687213,0.9067068,0.9178708,0.07192983,0.6685938,0.06001244,0.6708658,0.05314286,0.9102442,0.8824647,0.07283337,0.9149817,0.6406547,0.04345974,0.680845,0.6856854,0.5971454,0.5481843,0.6161734,0.6659604,0.8700793,0.6535494,0.6640813,0.5925649
cg02882301,0.8055337,0.8053812,0.137971,0.09378882,0.823295,0.8600038,0.8789716,0.8700621,0.1143053,0.8236126,0.09527273,0.8110296,0.7929336,0.8317424,0.8271215,0.797341,0.8187835,0.800425,0.7936429,0.8327159,0.8300592,0.819807,0.8387457,0.7892315,0.8018383,0.8493283,0.8052052,0.8023943,0.1020558,0.1037344,0.09242424,0.09624413,0.09932498,0.8028833,0.8207849,0.08464849,0.1321212,0.8412481,0.8398204,0.793901,0.7884144,0.7971441,0.799643,0.8298976,0.1130178,0.8442126,0.1170029,0.7901813,0.8246791,0.8343902,0.04177323,0.8342412,0.09304348,0.8623582,0.8576898,0.100077,0.814606,0.8152238,0.02231405,0.8317115,0.1705069,0.8220511,0.8380488,0.8055556,0.8443998,0.7760885,0.8167247,0.101676,0.1061626,0.1309242,0.8344569,0.8043123,0.7947744,0.7704526,0.7942669,0.7953691,0.8045869,0.1450231,0.1423682
cg02890259,0.6286852,0.8933559,0.9173397,0.9259911,0.1330189,0.9135929,0.6984837,0.1645219,0.1094552,0.6580092,0.9090819,0.6394007,0.6424386,0.9298261,0.9201592,0.8942776,0.9039918,0.62586,0.111439,0.6784778,0.6861506,0.1069996,0.638824,0.6315491,0.0923221,0.09583882,0.9057331,0.8951724,0.6678469,0.9185132,0.6602105,0.609681,0.1096752,0.7148541,0.6666369,0.1257759,0.1519893,0.6675794,0.1331701,0.9068902,0.6470922,0.9213979,0.6493126,0.6768053,0.6537254,0.140708,0.6316453,0.6548108,0.6913348,0.1117444,0.09903973,0.6839361,0.1555068,0.7196828,0.6755245,0.6488927,0.9208556,0.6678205,0.1157468,0.6771744,0.1114989,0.6720939,0.7069481,0.6815746,0.8921558,0.1279353,0.9030644,0.9007424,0.6558431,0.1318267,0.1299485,0.6513683,0.8941454,0.9070938,0.1082095,0.6471708,0.6490216,0.9219512,0.6185827
cg02890812,0.7098812,0.754373,0.1431557,0.1516556,0.7419807,0.8098683,0.7265542,0.7358686,0.1058164,0.714489,0.1021277,0.723169,0.7117361,0.7065495,0.7854567,0.5972644,0.7442385,0.6902174,0.6634016,0.7413306,0.6830189,0.6928971,0.7220297,0.7116848,0.7290291,0.7470005,0.7733973,0.7160724,0.1234011,0.1102776,0.1061712,0.1474259,0.1275591,0.6495801,0.6744496,0.1061538,0.1480687,0.6975983,0.7092867,0.7565753,0.6954818,0.6782007,0.6536934,0.6946387,0.08703072,0.7128009,0.1145441,0.6886041,0.7367486,0.6329852,0.1241877,0.7224706,0.1086956,0.715357,0.7169214,0.1048445,0.7387802,0.722928,0.09722222,0.7070561,0.08716026,0.7466367,0.6297899,0.6810881,0.7033355,0.7203485,0.6546358,0.09095982,0.1149103,0.1670314,0.7535229,0.6819598,0.740534,0.7351544,0.7413163,0.6852039,0.7116349,0.1031426,0.0880597
cg02898382,0.6298143,0.6420701,0.02787176,0.02409638,0.646624,0.6285521,0.6508785,0.6474807,0.01547661,0.6343557,0.0209122,0.6202928,0.6467409,0.5803993,0.6251699,0.6000184,0.6689844,0.6129875,0.6508754,0.6351436,0.6372452,0.5963097,0.6137403,0.6520468,0.6403068,0.6283056,0.654919,0.6387948,0.01504608,0.01628171,0.01685689,0.009042258,0.01215624,0.6379363,0.6372969,0.02078263,0.02129563,0.628059,0.6678487,0.6172585,0.5950482,0.6337588,0.609282,0.6280773,0.02985351,0.6761173,0.01170101,0.6402286,0.6250364,0.6555125,0.02084663,0.6140351,0.009820666,0.6503172,0.6553818,0.01992551,0.661746,0.6170193,0.01304988,0.6302553,0.01108949,0.6002238,0.5688542,0.5994983,0.6197503,0.6353174,0.6559022,0.02053292,0.01020744,0.01045173,0.6108509,0.6403233,0.6405208,0.6481537,0.6333179,0.6538764,0.6575131,0.008860759,0.0237484
cg02902015,0.5307562,0.6758584,0.1242424,0.09443402,0.602697,0.6453919,0.6390378,0.6456905,0.09869529,0.5710521,0.06947211,0.5523735,0.6576311,0.6167058,0.657071,0.5239834,0.611845,0.5622895,0.6828845,0.6245856,0.6858163,0.6491971,0.6007887,0.5540981,0.6424693,0.6304681,0.6411861,0.65,0.05958549,0.09358418,0.08552481,0.08138695,0.09669811,0.6710976,0.6316082,0.1015011,0.09497331,0.7121047,0.6673759,0.5672502,0.6039312,0.5421667,0.5912291,0.620832,0.09086727,0.6629537,0.1099148,0.617317,0.6249279,0.6156523,0.1029291,0.6894436,0.09820011,0.6095071,0.67011,0.07654127,0.6884209,0.6663853,0.09417041,0.6659429,0.08206768,0.6468608,0.6010664,0.6137662,0.5916388,0.6466189,0.5954971,0.1115862,0.1424187,0.1017975,0.6066893,0.5839362,0.5976366,0.620046,0.5928125,0.6530288,0.6525598,0.09854369,0.1124462
