cpg,module,gene
cg04011338,turquoise,RAMP1
cg04013089,blue,GOLGA3
cg04014805,blue,
cg04016086,grey,COBL
cg04016768,turquoise,IGSF8
cg04016922,blue,C3orf26
cg04017116,turquoise,RPAP2
cg04020792,blue,ATP2A2
cg04021127,blue,PPP2R2D
cg04021544,grey,
cg04021557,blue,HIST1H4B
cg04021745,turquoise,ERO1LB
cg04024692,grey,C11orf58
cg04024904,turquoise,CREB5
cg04024910,blue,PRKDC
cg04025728,magenta,RPL22
cg04027043,blue,
cg04028315,grey,SP4
cg04028570,grey,OR2L13
cg04029055,turquoise,
cg04030842,turquoise,UBE2I
cg04036009,turquoise,C2orf28
cg04036101,turquoise,KIFC3
cg04037372,blue,PTDSS2
cg04038724,blue,SRI
cg04041942,grey,INTS9
cg04043455,grey,EBF3
cg04043795,turquoise,SOX11
cg04044120,grey,DNAJB13
cg04052427,turquoise,C2orf67
cg04054303,grey,HLA-DQA1
cg04054902,turquoise,FNDC3A
cg04054907,turquoise,CNOT7
cg04057238,grey,
cg04059647,blue,
cg04059762,grey,
cg04059965,turquoise,C5orf45
cg04062383,turquoise,USP13
cg04063615,grey,
cg04064998,grey,
cg04068497,turquoise,KRR1
cg04071440,violet,
cg04072545,turquoise,INS-IGF2
cg04072691,turquoise,SEC14L5
cg04073265,grey,SLC6A3
cg04074536,grey,CPLX1
cg04074793,turquoise,MKI67
cg04076766,grey,ANKRD53
cg04077210,turquoise,KLHL2
cg04079722,turquoise,ZNF764
cg04081324,turquoise,RPS14
cg04082016,grey,
cg04082020,blue,NFYA
cg04085542,blue,FAM172A
cg04086531,grey,ZNF423
cg04089426,turquoise,LTBP3
cg04090468,grey,
cg04093885,turquoise,ISCA1L
cg04094433,blue,
cg04095069,blue,NUB1
cg04095468,turquoise,SECISBP2
cg04096619,grey,SNORD123
cg04098585,turquoise,CD28
cg04099430,blue,TMCO3
cg04099454,blue,ABCB1
cg04099524,turquoise,FAM81A
cg04099562,turquoise,WDR26
cg04100434,turquoise,MTMR4
cg04102784,blue,
cg04102916,blue,EIF4H
cg04106584,turquoise,EIF2AK1
cg04106641,turquoise,ORC4L
cg04108328,blue,ESCO2
cg04108612,turquoise,PAFAH2
cg04108615,turquoise,CRTC2
cg04108811,turquoise,SMYD3
cg04109898,turquoise,HCG9
cg04111436,blue,PPP1R8
cg04111992,grey,
cg04116469,blue,MAP4K4
cg04117229,turquoise,SPG20
cg04117338,turquoise,CRADD
cg04117853,grey,OCIAD1
cg04118464,turquoise,SIRT4
cg04118610,grey,LPHN3
cg04120645,turquoise,BLM
cg04122358,grey,
cg04122974,grey,ATF4
cg04126816,turquoise,CCDC106
cg04130455,grey,
cg04131456,blue,TUBA3C
cg04131969,grey,MYADML
cg04132851,brown,SSX2IP
cg04133023,turquoise,ANKFY1
cg04134305,darkturquoise,C7orf13
cg04135960,grey,KNDC1
cg04136259,grey,MAFK
cg04138181,red,PLK1
cg04138571,greenyellow,
cg04140924,turquoise,HIST2H2BE
cg04141691,turquoise,ZNF200
cg04142413,turquoise,MRPS35
cg04143294,turquoise,MSL2
cg04143909,grey,SLC35F3
cg04146011,darkturquoise,FBXL6
cg04149955,turquoise,
cg04150100,blue,SIK2
cg04150382,yellow,
cg04153116,turquoise,
cg04154027,grey,CMYA5
cg04154138,turquoise,ZNF677
cg04155632,turquoise,IPO11
cg04157308,blue,PLEKHA5
cg04158046,turquoise,ALG6
cg04160501,turquoise,FOXK1
cg04160749,grey,
cg04162566,turquoise,NEK7
cg04163118,turquoise,
cg04166393,turquoise,GNA12
cg04168939,turquoise,BRF1
cg04169186,blue,
cg04169380,blue,MAP3K4
cg04170071,orange,RPL23AP7
cg04170442,yellow,WDR75
cg04173714,turquoise,AKAP13
cg04175879,turquoise,NCOA3
cg04180473,blue,SRP68
cg04181038,grey,
cg04184946,yellow,AKTIP
cg04186657,grey,HLA-F
cg04187935,turquoise,
cg04191342,turquoise,CADPS
cg04192557,turquoise,PPIA
cg04193218,green,PACRGL
cg04193422,turquoise,PON2
cg04193427,turquoise,PKNOX1
cg04194674,turquoise,SRCIN1
cg04197535,turquoise,RNF169
cg04197554,blue,
cg04198308,turquoise,FAM19A5
cg04199473,turquoise,STRN3
cg04199615,blue,
cg04199779,grey,H6PD
cg04199977,lightyellow,NUBP1
cg04200835,greenyellow,VKORC1
cg04206699,blue,
cg04208863,blue,
cg04210779,blue,RRP15
cg04213845,blue,DIP2C
cg04213900,grey,
cg04214467,turquoise,UBE2D3
cg04216395,turquoise,VTI1B
cg04217419,turquoise,HS6ST1
cg04218760,grey,TMEM72
cg04219625,turquoise,DPP3
cg04220541,grey,KIAA0146
cg04221681,blue,PHYH
cg04222358,grey,
cg04222842,grey,SRP9
cg04223645,turquoise,SCAMP1
cg04223671,turquoise,
cg04226364,grey,MYST2
cg04226724,turquoise,LPHN2
cg04227594,turquoise,ZNF131
cg04227743,blue,KCNJ3
cg04228083,blue,LOC100130872-SPON2
cg04229238,turquoise,RB1CC1
cg04231050,grey,BFSP2
cg04231541,grey,TESSP1
cg04236735,blue,RUFY3
cg04237662,turquoise,SIDT2
cg04238096,turquoise,DIMT1L
cg04240491,blue,LCLAT1
cg04240809,grey,SOX2OT
cg04241308,black,DCTD
cg04243827,grey,
cg04245373,turquoise,CALB2
cg04246144,turquoise,PCDHGA4
cg04247717,grey,ARHGEF4
cg04248279,grey,RPH3AL
cg04252152,blue,KRT27
cg04255230,grey,LBX2
cg04255276,grey,LTBP3
cg04256316,turquoise,SIPA1
cg04256347,grey,TBC1D9
cg04258219,grey,
cg04260924,turquoise,PMS1
cg04261066,turquoise,MRPL54
cg04262428,grey,SHANK2
cg04263115,yellow,CLSPN
cg04263685,turquoise,ATP6V1H
cg04264658,grey,SCAF1
cg04264908,turquoise,
cg04269065,turquoise,WRN
cg04270401,grey,
cg04270405,greenyellow,ING1
cg04272560,turquoise,TMEM175
cg04274758,blue,OSBPL3
cg04277193,grey,
cg04279695,turquoise,BIRC3
cg04281344,blue,
cg04282082,grey,LHX6
cg04287574,grey,NAV1
cg04289040,turquoise,
cg04289314,grey,
cg04289959,blue,FBRS
cg04290349,turquoise,IFT122
cg04290376,turquoise,HIST1H1C
cg04290779,turquoise,
cg04292359,grey,FAM89A
cg04294625,turquoise,KPNB1
cg04294990,turquoise,USP22
cg04296257,black,STK36
cg04296540,grey,
cg04298819,turquoise,NUF2
cg04301102,turquoise,SEPT8
cg04301719,turquoise,AEN
cg04302946,turquoise,CUTA
cg04305319,blue,
cg04306507,grey,LGALS3
cg04307710,blue,ALDH18A1
cg04307927,grey,AARSD1
cg04309230,turquoise,SGTB
cg04309258,turquoise,ZNF669
cg04310266,turquoise,FAM86C
cg04312919,turquoise,NUAK2
cg04312967,blue,IFT140
cg04313601,turquoise,SBF2
cg04315214,grey,PRKCZ
cg04317543,turquoise,LMNA
cg04318704,grey60,ZNF702P
cg04319429,grey,DCTN2
cg04320632,blue,
cg04322111,grey,HLA-DQB2
cg04322483,turquoise,VIPR1
cg04324727,turquoise,NRXN3
cg04326040,turquoise,VPS53
cg04326269,turquoise,THRA
cg04326887,blue,PPP4R2
cg04327593,blue,USF2
cg04329088,blue,
cg04329125,grey,CRIP2
cg04329454,grey,C6orf227
cg04331525,grey,
cg04332418,turquoise,C6orf114
cg04332613,turquoise,STK4
cg04333297,turquoise,SLC25A36
cg04335207,blue,CCDC108
cg04336279,blue,
cg04337198,blue,C10orf84
cg04337937,blue,SACS
cg04339290,turquoise,SF3A3
cg04339692,blue,
cg04340421,turquoise,C8orf41
cg04342328,pink,DMC1
cg04342425,blue,ATP2C2
cg04342538,turquoise,LEPRE1
cg04342821,turquoise,CCDC13
cg04346261,turquoise,SOS1
cg04346459,grey,NFYA
cg04348223,grey,DIP2C
cg04348427,turquoise,ZNF174
cg04349084,grey,
cg04349810,grey,ARMC5
cg04350646,darkolivegreen,MRPL32
cg04351272,turquoise,LCLAT1
cg04352944,turquoise,C11orf17
cg04354002,grey,
cg04356381,turquoise,
cg04358957,turquoise,
cg04359351,blue,TTC15
cg04360080,turquoise,RG9MTD2
cg04360458,turquoise,REST
cg04363097,turquoise,PSMD7
cg04364695,grey,ZMAT4
cg04365399,blue,SLC22A23
cg04365696,blue,ENOX1
cg04370315,turquoise,
cg04370829,grey,
cg04373548,turquoise,
cg04373966,tan,
cg04375213,turquoise,DCP1B
cg04375284,darkmagenta,ING4
cg04375578,turquoise,SPTY2D1
cg04375931,turquoise,SMG6
cg04378603,turquoise,MALAT1
cg04381873,grey,LOC284412
cg04383208,blue,FAM184A
cg04383369,turquoise,VPS4A
cg04384112,grey,CFDP1
cg04385875,turquoise,CNOT2
cg04386400,grey,
cg04387010,blue,COX11
cg04387418,turquoise,GMFB
cg04388226,blue,
cg04392082,grey,SORBS2
cg04392266,grey,
cg04394763,turquoise,DENND4B
cg04395153,grey,MYOG
cg04395431,blue,FANCM
cg04395798,grey,LOC84856
cg04396112,grey,MAD1L1
cg04396185,darkmagenta,CSAD
cg04396288,turquoise,NSMCE1
cg04396454,blue,ANKRD11
cg04397097,turquoise,COPS4
cg04397433,grey,MALL
cg04398416,grey,
cg04398451,grey,MYO15A
cg04400147,blue,NISCH
cg04403629,turquoise,ZBTB20
cg04404603,blue,C12orf23
cg04406111,grey,TACC2
cg04407147,blue,MARCH7
cg04407470,darkorange,NR2E1
cg04410073,midnightblue,PRSS23
cg04410987,blue,
cg04413180,grey,AGAP1
cg04414720,turquoise,GOLPH3L
cg04415427,turquoise,MGC72080
cg04416895,lightcyan,SERHL2
cg04417471,turquoise,PRPF31
cg04422896,turquoise,C12orf43
cg04424379,turquoise,AARS
cg04425094,blue,HEG1
cg04428071,blue,CSNK1D
cg04428853,turquoise,TMEM110
cg04431054,grey,PRRC1
cg04432275,blue,
cg04432319,grey,ISM1
cg04432377,turquoise,EXOSC7
cg04434909,grey,CCDC85C
cg04443690,grey,
cg04444674,turquoise,LOC100128640
cg04444761,yellow,TRIB1
cg04446326,blue,PSMA1
cg04446777,turquoise,BTRC
cg04450456,grey,FAM184B
cg04451748,turquoise,TRIM44
cg04452896,grey,
cg04453065,grey,CYR61
cg04453241,grey,PGS1
cg04458869,turquoise,LASS6
cg04459481,turquoise,GLG1
cg04461859,blue,
cg04465286,darkgrey,FAM109A
cg04467278,turquoise,EIF2AK4
cg04467334,grey,CCKBR
cg04468128,blue,HS6ST3
cg04468564,turquoise,C15orf33
cg04469346,turquoise,
cg04470054,turquoise,RPTOR
cg04471935,blue,GPR133
cg04473020,turquoise,PPDPF
cg04474265,turquoise,DCTN2
cg04474471,blue,ANXA7
cg04476876,blue,EIF2C2
cg04477515,blue,G3BP2
cg04478727,turquoise,METTL1
cg04480106,grey,RGNEF
cg04481923,grey,MIR886
cg04483336,turquoise,RPAIN
cg04486417,turquoise,GLOD4
cg04490349,grey,ACTB
cg04491365,blue,USP38
cg04491635,turquoise,USP2
cg04492858,grey,
cg04495110,blue,C8orf42
cg04497547,turquoise,METTL10
cg04498082,turquoise,
cg04499901,turquoise,
cg04504004,blue,C8orf85
cg04505205,blue,CNGA3
cg04506728,grey,
cg04507495,turquoise,
cg04509559,turquoise,ERH
cg04509607,turquoise,PRC1
cg04510049,blue,COL23A1
cg04510815,blue,EIF4A1
cg04512050,grey,BAT3
cg04513882,blue,LIPH
cg04517722,grey,B3GNT3
cg04521957,darkmagenta,SKAP2
cg04522531,turquoise,RPL23
cg04522544,blue,
cg04524477,turquoise,NBR1
cg04525384,blue,TELO2
cg04526124,turquoise,TRA2A
cg04528069,turquoise,DUS2L
cg04529724,grey,RAET1G
cg04529785,turquoise,NOS1
cg04529868,grey,CHURC1
cg04530860,turquoise,B9D2
cg04531710,turquoise,EIF4G1
cg04533283,blue,FYN
cg04533380,turquoise,FAM134C
cg04533487,turquoise,UBA5
cg04534276,turquoise,PPP3CB
cg04534503,blue,
cg04534697,grey,
cg04536689,turquoise,TTC9
cg04538470,magenta,PIGP
cg04539057,blue,MUC6
cg04539111,grey,SLC12A4
cg04540039,turquoise,SYN3
cg04541606,blue,C14orf37
cg04541695,turquoise,LCORL
cg04542325,turquoise,C14orf179
cg04543131,blue,SMAD6
cg04546413,grey,
cg04546747,turquoise,CTSD
cg04546950,turquoise,
cg04547220,turquoise,DNAH6
cg04551440,green,KATNAL1
cg04552931,turquoise,FAM104A
cg04553410,grey,GBX1
cg04554929,grey,
cg04554987,turquoise,CCNT1
cg04555116,magenta,ZNF37A
cg04555735,turquoise,DSN1
cg04555837,blue,CENPL
cg04558174,turquoise,
cg04560503,blue,TRRAP
cg04561883,blue,
cg04562394,blue,
cg04562522,turquoise,WNT4
cg04562739,greenyellow,CDS2
cg04563419,turquoise,RASSF8
cg04563953,turquoise,NCSTN
cg04564646,midnightblue,MOV10
cg04564980,grey,KNDC1
cg04565617,turquoise,RCC2
cg04566512,grey,
cg04566848,turquoise,HLA-J
cg04570322,turquoise,ZFP91
cg04570362,blue,CLSTN1
cg04570624,blue,CADPS
cg04571321,brown,RYR1
cg04571742,turquoise,VPRBP
cg04574459,grey,
cg04576042,grey,ZMYM1
cg04577268,turquoise,ZNF221
cg04577441,grey60,LOC256880
cg04577786,grey,ANKRD26P1
cg04579966,turquoise,SPATA13
cg04580344,grey,C6orf174
cg04580897,turquoise,SNORA6
cg04582539,turquoise,UBL5
cg04583467,blue,CNOT2
cg04585209,grey,CCKBR
cg04585364,sienna3,
cg04588336,grey,WNT11
cg04589975,turquoise,C2orf42
cg04590313,darkorange,CERKL
cg04592747,grey,RAB1B
cg04594618,blue,
cg04598251,turquoise,NOC4L
cg04598325,turquoise,LOC338799
cg04598733,grey,SEC63
cg04598744,turquoise,LMBRD1
cg04599965,turquoise,
cg04600792,blue,CHN2
cg04604276,turquoise,HNRNPR
cg04605667,turquoise,SIAH2
cg04607174,turquoise,EED
cg04608419,blue,
cg04608855,turquoise,
cg04609868,turquoise,STX4
cg04614173,turquoise,SYNGAP1
cg04616401,grey,EGR1
cg04619120,blue,ASPH
cg04619437,blue,RNF32
cg04622620,grey,ZNF800
cg04628008,turquoise,ZBTB16
cg04628206,blue,
cg04628413,grey,NFATC2IP
cg04633141,grey,TMEM184A
cg04633922,blue,
cg04636222,blue,HERC1
cg04637704,grey,LOC286016
cg04638486,turquoise,NDUFS4
cg04645049,turquoise,ARL6IP5
cg04645123,blue,CMIP
cg04646100,turquoise,KIAA1826
cg04650654,grey,
cg04650899,turquoise,SAMD14
cg04652097,grey,MAGI2
cg04653913,grey,
cg04654677,turquoise,RNF43
cg04654841,turquoise,DOK4
cg04657146,grey,HOOK2
cg04657470,grey,HSPE1
cg04660357,turquoise,TARBP2
cg04661001,grey,SLC25A42
cg04661128,turquoise,PPAPDC2
cg04662943,grey,
cg04663285,grey,B4GALNT4
cg04663720,turquoise,RAB11B
cg04663956,blue,NF1
cg04664628,blue,
cg04664999,turquoise,
cg04667586,turquoise,MDM2
cg04670766,blue,TPCN1
cg04672538,turquoise,ARSG
cg04674792,turquoise,MFAP1
cg04676715,turquoise,TSNAXIP1
cg04677623,darkmagenta,PVRL2
cg04678644,blue,KIF6
cg04678743,grey,TSGA13
cg04680746,turquoise,NACAD
cg04681219,turquoise,ETV2
cg04683509,grey,PPP1R13L
cg04684246,blue,GIT2
cg04685531,blue,
cg04689082,turquoise,FAM43A
cg04698397,darkgreen,ZBTB39
cg04699104,turquoise,TRIB2
cg04699214,blue,
cg04699227,blue,CD44
cg04700292,blue,ZFHX3
cg04701034,grey,NID2
cg04704193,turquoise,HIST1H3G
cg04704947,grey,PPP1R8
cg04705620,turquoise,VRK2
cg04706904,turquoise,
cg04707531,turquoise,LOC552889
cg04708398,turquoise,C5orf22
cg04714787,grey,
cg04717802,grey,WBP2NL
cg04718342,turquoise,CLPX
cg04719634,blue,
cg04720785,grey,CDKN2C
cg04721485,blue,WDR33
cg04721595,blue,RDH12
cg04723601,turquoise,TMEM109
cg04724115,grey,LOC646851
cg04724277,turquoise,MRPS21
cg04725166,grey,PER3
cg04726730,blue,
cg04728296,turquoise,CPE
cg04733681,blue,IGF2R
cg04734286,turquoise,
cg04735544,turquoise,EEFSEC
cg04737131,turquoise,HOXA2
cg04737207,turquoise,NAA15
cg04737319,lightyellow,DTD1
cg04737881,grey,MGC45800
cg04737885,blue,ADCY9
cg04738270,turquoise,ACTR1A
cg04738301,grey,NTN4
cg04738673,blue,
cg04741932,grey,
cg04743933,grey,TMEM209
cg04746670,turquoise,CLASP1
cg04747226,turquoise,GRIA4
cg04747993,turquoise,RNF114
cg04748923,turquoise,HSD11B1L
cg04749197,blue,NUMA1
cg04751069,darkred,ZNF276
cg04751358,turquoise,
cg04751533,blue,AFAP1
cg04756515,grey,
cg04758026,grey,
cg04758273,magenta,VTI1A
cg04761648,turquoise,CDK8
cg04762397,turquoise,MRPS31
cg04766314,blue,PCCA
cg04767734,turquoise,
cg04767932,turquoise,RPS13
cg04770165,turquoise,EIF3H
cg04770550,turquoise,VAV1
cg04771550,grey,TMEM107
cg04771938,turquoise,LMAN2L
cg04773818,grey,NRG1
cg04773990,turquoise,TAP1
cg04774496,turquoise,CHFR
cg04775238,darkturquoise,ALS2
cg04776910,turquoise,ZNF497
cg04777551,grey,HLA-DQB1
cg04782982,blue,RAD51L1
cg04783966,turquoise,RNASE4
cg04785418,yellow,GXYLT1
cg04788249,turquoise,ATG7
cg04789589,turquoise,IFIT2
cg04793911,grey,
cg04795282,brown,HEATR5B
cg04795713,turquoise,HLF
cg04796146,turquoise,
cg04798314,grey,SMYD3
cg04802236,red,RPL23
cg04804643,grey,
cg04804893,blue,ALKBH2
cg04807108,grey,
cg04808029,turquoise,NKX3-2
cg04809453,grey,SOX8
cg04811114,grey,LGR6
cg04811706,grey,
cg04813639,turquoise,RASGRF1
cg04813719,grey,KLC2
cg04816171,grey,
cg04816798,blue,
cg04819497,grey,
cg04824553,turquoise,UBE2D3
cg04825215,grey,MICB
cg04826071,turquoise,TTBK2
cg04826215,turquoise,PRKAB1
cg04826345,grey,
cg04826663,turquoise,ANLN
cg04826673,blue,
cg04832268,blue,MYO15A
cg04833011,grey,
cg04835553,blue,
cg04836154,grey,C11orf83
cg04837284,blue,SESN3
cg04838064,turquoise,PRIM2
cg04840167,turquoise,
cg04840417,turquoise,PUSL1
cg04842934,blue,
cg04842962,grey,MRPS18A
cg04843676,blue,
cg04844516,blue,CDH18
cg04844543,grey,KIF9
cg04845144,turquoise,RTN2
cg04845687,blue,PDZD7
cg04847533,turquoise,
cg04849769,turquoise,CNIH
cg04850286,grey,PLAC9
cg04852989,turquoise,ARVCF
cg04855216,yellow,TNFAIP8
cg04855748,grey,C11orf20
cg04856689,grey,CRHR1
cg04858616,grey,BMP8B
cg04861014,darkolivegreen,STUB1
cg04861263,turquoise,FOXB1
cg04863005,grey,TACSTD2
cg04863568,turquoise,RABEP2
cg04863573,turquoise,RIMS3
cg04865265,darkmagenta,CREG2
cg04865412,grey,ZNF207
cg04865841,turquoise,WDR8
cg04868078,turquoise,LHX9
cg04868132,turquoise,MALAT1
cg04870212,turquoise,
cg04870498,turquoise,TNRC6B
cg04871330,greenyellow,MCFD2
cg04871582,turquoise,PPIL5
cg04872557,turquoise,ACADM
cg04873833,lightyellow,GLT1D1
cg04873927,turquoise,
cg04875118,turquoise,ZNF696
cg04878727,turquoise,ZNF323
cg04879348,blue,GCC2
cg04880091,grey,
cg04880751,turquoise,KMO
cg04881214,turquoise,PPM1B
cg04882937,turquoise,DUSP2
cg04884244,blue,ASH1L
cg04884481,turquoise,BCL11B
cg04887807,grey,CYTL1
cg04889045,blue,PIGK
cg04890036,blue,VEZF1
cg04892437,blue,TSNAX-DISC1
cg04893454,blue,
cg04894116,blue,C7orf50
cg04895321,turquoise,NMT2
cg04896165,blue,BCAT1
cg04896168,grey,
cg04896381,darkred,TBKBP1
cg04897188,turquoise,
cg04898765,blue,
cg04899715,grey,
cg04900999,turquoise,ATP6V0A1
cg04903936,grey,E2F8
cg04905789,turquoise,RAD18
cg04906764,blue,ATP5S
cg04906989,turquoise,C17orf102
cg04908280,turquoise,RBM16
cg04910183,grey,CDC73
cg04910403,turquoise,C20orf3
cg04911518,blue,COCH
cg04913057,grey,ETNK2
cg04913730,grey,LOC146336
cg04915414,turquoise,SHC1
cg04915566,turquoise,RUNX1
cg04917181,grey,TSPYL5
cg04917373,blue,C1orf124
cg04917446,grey,HOXB9
cg04917511,grey,C2orf70
cg04919811,blue,RPTOR
cg04920527,turquoise,
cg04921315,blue,
cg04921814,grey,PIAS3
cg04923513,turquoise,SH2D5
cg04926385,grey,
cg04928513,turquoise,PSMA7
cg04930693,blue,ERRFI1
cg04931582,turquoise,SETD7
cg04932464,blue,KIAA0232
cg04934727,turquoise,SMEK2
cg04936382,grey,RPRD1B
cg04938255,turquoise,MIR760
cg04938335,blue,GSG1
cg04939919,turquoise,
cg04944784,grey,FAM59B
cg04945388,turquoise,PTMA
cg04946387,grey,B3GAT1
cg04947838,turquoise,ARFGEF1
cg04947850,blue,TBC1D14
cg04953552,grey,
cg04954411,turquoise,FBL
cg04955951,turquoise,
cg04956511,grey,PTPN6
cg04961270,blue,ASCC3
cg04965879,grey,KIAA1586
cg04967129,blue,
cg04970438,blue,TAF3
cg04973632,turquoise,TUBD1
cg04974121,darkorange,PACRGL
cg04974702,turquoise,PPP1CA
cg04977109,grey,NFE2L1
cg04977124,turquoise,MALAT1
cg04978279,blue,
cg04982052,blue,
cg04983687,grey,ZFPM1
cg04985097,turquoise,COL4A3BP
cg04985324,turquoise,GLRX5
cg04985582,grey,ABCC13
cg04985652,turquoise,DTD1
cg04986870,grey,KCNN1
cg04987827,turquoise,PRKAR1A
cg04988224,turquoise,RPL18
cg04989395,blue,
cg04995722,grey,NFE2L3
cg04995860,turquoise,ZYG11B
cg04996158,turquoise,SAPS1
cg04996219,grey,CTNND2
cg04996251,turquoise,NDUFS4
cg04996485,blue,
cg04996523,turquoise,CYP2J2
cg04996689,turquoise,ITGA2
cg04997273,turquoise,PTGFRN
cg04998498,blue,USP28
cg05000748,darkred,RUNX1
cg05001532,turquoise,HNRNPU
cg05001758,turquoise,CENPL
cg05002314,blue,CSTF1
cg05002512,turquoise,FAF1
cg05003364,blue,
cg05004142,grey,CCDC102A
cg05004900,turquoise,
cg05005380,turquoise,IFT74
cg05006903,brown,ZNF252
cg05008070,blue,DACT1
cg05009079,turquoise,STARD13
cg05009141,grey,PLXNB1
cg05009394,turquoise,C11orf82
cg05011838,turquoise,BCL11B
cg05012551,turquoise,ZNF227
cg05013027,turquoise,GNL1
cg05014724,blue,ZNF558
cg05017628,grey,
cg05019168,turquoise,TRIP4
cg05019396,blue,UBR3
cg05019826,grey,
cg05022225,turquoise,DKKL1
cg05025164,purple,KIAA1530
cg05026346,red,
cg05026473,blue,RB1
cg05027081,grey,CDC7
cg05027458,turquoise,ADAMTS17
cg05030553,grey,
cg05030953,grey,HLA-C
cg05031195,turquoise,NACAD
cg05031455,blue,ABR
cg05032135,turquoise,TTC26
cg05034702,turquoise,PCDH20
cg05035470,blue,
cg05036013,blue,PPP2R5C
cg05039004,turquoise,PTPRU
cg05040023,turquoise,UTP15
cg05042743,grey,TMEM216
cg05043349,grey,
cg05044291,grey,LGR6
cg05044694,turquoise,PPP1CB
cg05047465,brown,RAB18
cg05048680,grey,MRPL20
cg05049646,blue,CCDC41
cg05050757,turquoise,ATF7
cg05051199,grey,PCYT1A
cg05053403,grey,FBRSL1
cg05054115,turquoise,DHRS4
cg05054898,grey,LOC152217
cg05056288,blue,LCLAT1
cg05057083,blue,NUMB
cg05057452,turquoise,HBM
cg05057720,grey,CLEC14A
cg05058069,blue,BANP
cg05059291,turquoise,
cg05059922,blue,CRADD
cg05060949,grey,MNX1
cg05061711,turquoise,
cg05062896,turquoise,PPOX
cg05063597,blue,
cg05063616,turquoise,G6PC3
cg05064297,turquoise,
cg05065989,turquoise,HOXA9
cg05067125,turquoise,S100Z
cg05067991,turquoise,KDM2B
cg05068428,turquoise,PAK6
cg05071422,blue,
cg05072819,turquoise,KAT2B
cg05073382,grey,MYOM2
cg05074892,turquoise,BRD2
cg05074908,turquoise,
cg05076167,turquoise,G2E3
cg05080154,grey,SALL3
cg05080281,turquoise,ZNF204P
cg05081694,blue,SCN3A
cg05081714,turquoise,PLEKHA1
cg05082376,grey,
cg05082466,grey,SERPINB6
cg05083358,turquoise,EIF3B
cg05083496,turquoise,IGFBP3
cg05084668,grey,ALG1L
cg05085169,grey,OGFR
cg05085565,turquoise,MED1
cg05088898,turquoise,C10orf46
cg05091238,turquoise,
cg05091519,grey,PAX6
cg05094271,turquoise,WDR4
cg05097015,grey,YSK4
cg05098125,blue,DNAJC24
cg05098590,grey,ADD3
cg05101231,blue,RAD54L2
cg05103132,turquoise,SMYD5
cg05103387,turquoise,AP1S3
cg05103623,grey,TAGAP
cg05105054,blue,FANCA
cg05105529,grey,SAV1
cg05105845,grey,GCH1
cg05106804,blue,ENOPH1
cg05107039,grey,IMMT
cg05107152,turquoise,KLC4
cg05108179,turquoise,BRF1
cg05112555,grey,
cg05113709,turquoise,CERKL
cg05115233,blue,RASA3
cg05115862,grey,
cg05117633,turquoise,AK2
cg05121093,turquoise,
cg05122437,grey,MTUS2
cg05122622,turquoise,TSC22D2
cg05122969,grey,ANO9
cg05124021,grey,PTPRN2
cg05124441,steelblue,SYN2
cg05124918,grey,
cg05125051,blue,HORMAD1
cg05125558,turquoise,SEP15
cg05127380,turquoise,STIP1
cg05129412,turquoise,MGST3
cg05129568,blue,FLOT1
cg05130022,turquoise,HMGN4
cg05130482,grey,
cg05131292,blue,SCARNA3
cg05132077,grey,
cg05135768,turquoise,
cg05136476,turquoise,
cg05138918,grey,
cg05143012,blue,NDUFA4
cg05143078,turquoise,EDC3
cg05146416,turquoise,OXA1L
cg05148373,turquoise,PDE1A
cg05149386,turquoise,ADM
cg05149425,turquoise,SLC15A4
cg05150641,blue,C3orf49
cg05152354,turquoise,RAPGEF3
cg05152815,grey,SNRPE
cg05154615,turquoise,SETBP1
cg05155042,turquoise,DRAM1
cg05155781,turquoise,RAB6A
cg05157625,grey,RIN3
cg05159192,turquoise,ADPGK
cg05160409,turquoise,TMEM109
cg05160963,brown,IPO4
cg05161218,blue,SLC38A10
cg05161930,turquoise,PRR24
cg05162523,grey,RUNX3
cg05162533,turquoise,FOXJ1
cg05162750,grey,TBX2
cg05163093,blue,ARSG
cg05163325,blue,SNX9
cg05164185,turquoise,CCND1
cg05164916,royalblue,AP1G2
cg05164926,grey,KCTD11
cg05166302,grey,RALA
cg05169244,turquoise,CXADR
cg05173737,grey,FLJ43390
cg05173834,lightcyan,UFSP1
cg05173913,turquoise,C17orf50
cg05176844,blue,HCG27
cg05179038,turquoise,BCL11B
cg05179396,blue,KIAA0564
cg05179986,blue,
cg05180859,grey,ZNF518A
cg05180887,grey,MYT1L
cg05181025,turquoise,SYNGAP1
cg05181221,turquoise,SOCS1
cg05182265,grey,UBE3C
cg05183646,blue,SGK1
cg05187247,blue,SNORD114-29
cg05189291,lightgreen,THG1L
cg05190533,royalblue,RPGRIP1L
cg05191006,turquoise,NQO1
cg05191076,grey,EPHA5
cg05191217,grey,
cg05191700,turquoise,KDM3B
cg05194426,grey,CYP2E1
cg05194618,grey,KLHL28
cg05195235,turquoise,ZNF546
cg05196362,blue,OSBPL8
cg05197062,grey,GALNTL4
cg05197191,turquoise,JARID2
cg05197560,turquoise,KCTD13
cg05199084,blue,PRKG1
cg05199874,turquoise,
cg05200628,turquoise,CD48
cg05200811,grey,
cg05200925,turquoise,NGDN
cg05201344,blue,ATP4B
cg05203615,brown,SLC38A10
cg05206690,turquoise,KATNAL1
cg05207121,turquoise,ERP29
cg05208581,black,WDFY2
