cpg,module,gene
cg02700894,grey,SYN2
cg02704345,turquoise,PAK4
cg02704946,grey,KIAA0753
cg02705666,turquoise,GTF2B
cg02705800,turquoise,FAM174B
cg02705895,turquoise,MRFAP1
cg02707176,grey,PCDHGA4
cg02707464,grey,C7orf42
cg02707638,turquoise,MKI67
cg02709834,grey,CRYZ
cg02710296,grey,C1orf14
cg02711397,grey,RINL
cg02711476,blue,CRTC2
cg02711652,grey,AXIN2
cg02712075,turquoise,LOC404266
cg02712183,turquoise,RASGEF1B
cg02712555,turquoise,CYP24A1
cg02712854,grey,TMBIM6
cg02714882,turquoise,MMP17
cg02715246,turquoise,NKTR
cg02715797,grey,RPUSD1
cg02716173,turquoise,PDLIM5
cg02717618,turquoise,SETBP1
cg02718654,black,SPTBN4
cg02720683,turquoise,BAT5
cg02724435,turquoise,TBC1D5
cg02726930,grey,
cg02728595,turquoise,
cg02728748,yellow,MSL2
cg02733266,turquoise,GSTO1
cg02734259,grey,
cg02734326,blue,SLC2A9
cg02735058,grey,
cg02735423,grey,HLA-DRB5
cg02736288,grey,
cg02737384,grey,RASSF4
cg02737782,grey,
cg02741305,grey,CCDC152
cg02743029,turquoise,SERTAD4
cg02746842,grey,
cg02749984,grey,
cg02750262,grey,ZADH2
cg02750935,blue,PRELID2
cg02752958,brown,ZP3
cg02754929,grey,
cg02758599,turquoise,C3orf21
cg02758706,grey,
cg02758899,turquoise,SLC41A3
cg02759489,blue,PDGFRA
cg02761523,turquoise,NFIX
cg02761960,grey,CTDP1
cg02762393,turquoise,WDR59
cg02763536,grey,WNK4
cg02765225,grey,SERF2
cg02767296,turquoise,RELB
cg02769477,grey,
cg02770061,grey,PTPRN2
cg02771260,grey,MS4A3
cg02772682,turquoise,SNAPC2
cg02772935,grey,
cg02774542,grey,RGL3
cg02775223,grey,DUXA
cg02776035,turquoise,
cg02776119,grey,MKLN1
cg02776658,grey,MAG
cg02779075,turquoise,
cg02779467,turquoise,PRPSAP2
cg02779667,turquoise,C19orf51
cg02782889,turquoise,IGF2BP1
cg02784823,grey,LMTK3
cg02785814,grey,
cg02788419,turquoise,LINS1
cg02792140,yellow,FZR1
cg02793262,grey,RNF213
cg02795678,grey,SUV39H2
cg02796420,grey,EIF5B
cg02796773,black,PTPN13
cg02797871,grey,COL20A1
cg02800334,grey,ANXA13
cg02800362,grey,HNRNPAB
cg02801598,turquoise,PDP2
cg02802309,turquoise,
cg02802871,turquoise,GINS1
cg02802904,turquoise,MGMT
cg02806645,grey,PRR23A
cg02806927,lightcyan,RIF1
cg02808338,turquoise,INO80C
cg02811067,grey,EEPD1
cg02811312,turquoise,WDR4
cg02815282,blue,LOC100130987
cg02815900,turquoise,ORAI3
cg02818811,turquoise,GLIPR1L1
cg02824202,grey,
cg02824295,turquoise,TBC1D17
cg02825052,turquoise,PICALM
cg02825653,turquoise,ZBTB4
cg02827371,turquoise,CCDC7
cg02829845,grey,
cg02831260,grey,
cg02835561,grey,CNN3
cg02836531,yellow,USP33
cg02837212,turquoise,ETFB
cg02838608,turquoise,ZNF652
cg02838762,turquoise,HNRNPU
cg02840535,brown,GTF3C1
cg02841571,grey,WDR27
cg02842197,grey,DERL2
cg02842227,grey,NCAM2
cg02844852,grey,
cg02845274,grey,ABCA13
cg02846841,grey,
cg02847098,grey,WDR77
cg02847425,grey,UPK3B
cg02847589,blue,ZBTB40
cg02848750,grey,
cg02848777,turquoise,TLL2
cg02848875,grey,SNX1
cg02849750,grey,BRAP
cg02850933,turquoise,
cg02850941,turquoise,SPATA2L
cg02856953,grey,TDRD10
cg02859644,turquoise,ACBD5
cg02860240,grey,LRRC34
cg02865447,turquoise,UBE2J1
cg02869559,grey,RUNX1
cg02870584,turquoise,DKFZp761E198
cg02872426,grey,DDO
cg02872767,grey,PLK5P
cg02873525,grey,
cg02873700,turquoise,RPL36AL
cg02873868,turquoise,DLL3
cg02873954,grey,PDXK
cg02876237,turquoise,ZNF614
cg02877808,turquoise,MIF
cg02879661,turquoise,PABPC1
cg02883842,turquoise,PSMD7
cg02886208,grey,SPON1
cg02887499,turquoise,HIST1H2BD
cg02888513,grey,
cg02888906,blue,RAB39
cg02890368,grey,GNAS
cg02890642,grey,
cg02891314,grey,GFPT2
cg02891332,turquoise,TWSG1
cg02895278,grey,PPP2R2A
cg02895995,yellow,PEX11G
cg02896355,turquoise,ZNF226
cg02896835,grey,
cg02897359,turquoise,HSPA1A
cg02901122,turquoise,RPRD1A
cg02901790,brown,TOP1MT
cg02902124,grey,SNRNP27
cg02902672,grey,HLA-DQB1
cg02907176,turquoise,FGFR1OP
cg02909711,grey,LRRC36
cg02910553,turquoise,CCDC92
cg02916312,turquoise,RIMS1
cg02916332,grey60,HOXA5
cg02917596,turquoise,DAGLA
cg02919082,grey,HLA-DQA1
cg02919257,turquoise,CCDC77
cg02919936,turquoise,PRDM14
cg02923571,turquoise,PWP1
cg02924619,turquoise,HSPA2
cg02924961,turquoise,HIST1H2BC
cg02925840,turquoise,STX6
cg02928664,grey,CDC42EP5
cg02930242,turquoise,FGFRL1
cg02931604,grey,DPPA5
cg02934834,grey,TSPYL4
cg02937671,grey,ZFYVE28
cg02937776,turquoise,COX16
cg02937966,turquoise,
cg02938172,grey,RPH3AL
cg02938429,cyan,RHOB
cg02939078,grey,TCFL5
cg02939508,turquoise,RNASE4
cg02939598,grey,
cg02941219,turquoise,NUDT21
cg02943720,turquoise,ATN1
cg02944007,grey,TSPAN10
cg02945007,turquoise,SCOC
cg02945294,grey,SRR
cg02947021,turquoise,C14orf43
cg02949296,grey,ZAN
cg02949340,blue,KAZALD1
cg02949469,turquoise,PNKD
cg02949992,turquoise,CDCA4
cg02951558,turquoise,FAM71E1
cg02951568,turquoise,
cg02952686,blue,LRRC28
cg02952711,turquoise,LRRC27
cg02953125,grey,SNTG2
cg02953382,turquoise,LOC391322
cg02955077,turquoise,RPAP2
cg02956248,grey,PPT2
cg02957632,grey,C6orf10
cg02959285,turquoise,HIST1H2AE
cg02959988,grey,
cg02960488,grey,
cg02961575,magenta,TBCCD1
cg02961798,grey,RLTPR
cg02962380,turquoise,MAF
cg02963119,grey,DECR2
cg02964065,grey,HLA-DQB2
cg02964172,grey,GCNT2
cg02964324,grey,HECW1
cg02964356,grey,SPATS2
cg02965870,turquoise,NEDD4
cg02968116,turquoise,
cg02968429,turquoise,NR2F2
cg02968854,turquoise,NOD1
cg02968883,brown,RAPGEF2
cg02969452,blue,PNN
cg02970077,grey,EIF5A
cg02972257,turquoise,
cg02972334,turquoise,CYP51A1
cg02972356,turquoise,CREM
cg02973270,turquoise,AGPAT1
cg02976405,turquoise,C7orf10
cg02979010,grey,TBC1D15
cg02979741,turquoise,MAVS
cg02980823,turquoise,C14orf118
cg02981003,grey,GPR123
cg02984614,turquoise,ACCN1
cg02987705,turquoise,ELOVL6
cg02988312,grey,KIAA1530
cg02989645,brown,
cg02989768,turquoise,RGL2
cg02991085,grey,NCRNA00028
cg02992881,turquoise,DLEU2
cg02993630,turquoise,MIR760
cg02995877,grey,TRAPPC9
cg02996006,turquoise,KCTD13
cg02996639,pink,UGP2
cg02997574,turquoise,NFE2L1
cg02999463,yellow,BRF2
cg03000603,grey,DHX34
cg03000989,grey,PLEKHA7
cg03001875,turquoise,TARBP1
cg03003216,grey,CCHCR1
cg03003335,grey,ACAP3
cg03006225,turquoise,PLEKHM2
cg03011535,grey,TOX2
cg03012280,grey,ZFYVE19
cg03013917,grey,
cg03014495,grey,COG3
cg03015433,turquoise,MT3
cg03017104,blue,
cg03017653,turquoise,TTC13
cg03018678,grey,
cg03021120,turquoise,BRD7
cg03021329,turquoise,ITGB5
cg03023068,grey,SLC30A3
cg03024660,grey,COTL1
cg03025986,grey,TSSC1
cg03026373,grey,SRCIN1
cg03026420,grey,SORD
cg03028106,pink,CBX6
cg03029145,turquoise,SMAD2
cg03030317,grey,HCG27
cg03030717,turquoise,
cg03031660,blue,MRPS7
cg03032098,grey,TUSC3
cg03032456,grey,
cg03037033,turquoise,KDM3A
cg03037150,turquoise,HOXC8
cg03038835,grey,
cg03039025,turquoise,AP3S2
cg03040522,turquoise,ADAR
cg03041027,turquoise,BRI3BP
cg03042692,grey,
cg03043804,grey,TCL1B
cg03044149,turquoise,GUK1
cg03046560,turquoise,
cg03047098,pink,AP1G1
cg03047688,grey,ZNF828
cg03049243,blue,PRPF31
cg03050687,turquoise,ADAL
cg03050907,turquoise,SNHG3-RCC1
cg03051777,turquoise,
cg03052970,turquoise,CACNG4
cg03054277,grey,OBSCN
cg03054303,turquoise,IFT140
cg03054600,turquoise,KIAA1012
cg03054684,grey,MOBP
cg03056811,grey,
cg03058232,grey,
cg03059048,turquoise,MAT2B
cg03059112,grey,FKBP11
cg03059131,turquoise,FOXB1
cg03060201,turquoise,ZNF568
cg03060546,turquoise,APEH
cg03060590,grey,
cg03061122,turquoise,RUNDC3A
cg03061811,turquoise,DKKL1
cg03062252,grey,MDGA1
cg03064080,turquoise,ZNF333
cg03064832,grey,POFUT1
cg03065625,turquoise,LRP4
cg03067660,turquoise,KLC4
cg03070236,grey,ADCY9
cg03070473,turquoise,OGFR
cg03070533,turquoise,HMGXB4
cg03074424,turquoise,NUP35
cg03075561,turquoise,FAM126B
cg03075709,turquoise,
cg03076324,turquoise,DNAJC1
cg03077969,grey,NFKBIL1
cg03078006,grey,TMPRSS6
cg03080820,turquoise,ZNF333
cg03081173,grey,HCG27
cg03083542,turquoise,NUP98
cg03086067,grey,SH2D4B
cg03088475,turquoise,ZNF251
cg03090351,turquoise,DOT1L
cg03093033,greenyellow,VPS4B
cg03094226,grey,C11orf80
cg03094935,turquoise,DEDD2
cg03095364,grey,
cg03095533,turquoise,HPN
cg03096830,turquoise,HSPA1L
cg03098515,turquoise,BAT3
cg03102494,grey,
cg03102879,grey,SCNN1B
cg03105770,turquoise,CCDC90B
cg03108263,grey,GTPBP2
cg03108419,brown,C19orf25
cg03111951,turquoise,QSOX1
cg03112087,grey,RNF150
cg03112680,grey,RASAL2
cg03114585,turquoise,HSPC157
cg03115019,grey,FN3K
cg03116837,grey,
cg03117949,turquoise,USP16
cg03117976,grey,FAM38B
cg03118604,grey,
cg03120717,greenyellow,C11orf61
cg03123773,turquoise,RPL41
cg03124146,grey,
cg03124214,grey,PARN
cg03124680,greenyellow,NAP1L4
cg03126043,turquoise,ELK4
cg03126946,grey,NRIP2
cg03127310,grey,
cg03128011,grey,
cg03130627,turquoise,EZR
cg03131272,turquoise,PGBD2
cg03132911,turquoise,IQGAP2
cg03140412,turquoise,SIGIRR
cg03142458,turquoise,
cg03142697,grey,RUNX1
cg03144619,grey,GALNT2
cg03146154,turquoise,IPP
cg03146993,turquoise,LHX1
cg03147452,turquoise,SETD8
cg03149565,grey,LOC641518
cg03150474,blue,C6orf52
cg03151651,turquoise,FLOT1
cg03151810,grey,
cg03153062,turquoise,
cg03153608,turquoise,RPS6KA4
cg03156396,grey,MSLN
cg03158666,turquoise,
cg03160526,grey,B3GNTL1
cg03161606,grey,
cg03162686,grey,ANKRD11
cg03163982,grey,
cg03164238,grey,CACNG6
cg03165014,grey,ITGBL1
cg03165859,turquoise,LSG1
cg03166323,turquoise,SEPHS2
cg03167954,grey,GAS2L1
cg03168497,grey,MYCBPAP
cg03171646,turquoise,HSF2
cg03176411,turquoise,
cg03176453,turquoise,PRR3
cg03176729,grey,HTRA1
cg03177231,grey,TBKBP1
cg03177593,grey,FNDC3B
cg03178232,grey,LMF1
cg03178820,turquoise,OSGEPL1
cg03179435,grey,FRMD4A
cg03181300,grey,
cg03182029,turquoise,COBLL1
cg03183872,blue,FASTKD5
cg03184037,turquoise,WRN
cg03185022,turquoise,GNA12
cg03185704,grey,LRRC61
cg03188948,grey,
cg03191045,turquoise,
cg03192598,grey,
cg03196689,turquoise,C11orf67
cg03198009,lightgreen,
cg03198010,grey,
cg03198275,turquoise,CHCHD6
cg03199926,grey,OSBPL2
cg03201044,turquoise,TFAP2C
cg03201262,brown,CPN1
cg03204825,grey,TPRXL
cg03204906,turquoise,BRD8
cg03205007,grey,SMEK2
cg03205258,grey,TXNRD2
cg03208830,turquoise,PPP1R13L
cg03209166,turquoise,PRH1
cg03210180,turquoise,C16orf45
cg03212129,turquoise,PDCD2L
cg03212272,turquoise,
cg03213289,grey,
cg03213374,turquoise,
cg03214005,brown,
cg03214277,turquoise,SLC25A23
cg03214297,blue,PICK1
cg03215005,turquoise,MX1
cg03216635,grey,PLD5
cg03219922,grey,
cg03221366,grey,
cg03225817,turquoise,GRIA4
cg03226218,yellow,PTGES3
cg03226526,grey,FAM20C
cg03226844,grey,RPH3AL
cg03229061,grey,HLA-DPB1
cg03234437,turquoise,GNL1
cg03235083,turquoise,HEXB
cg03237356,turquoise,NEIL3
cg03238595,blue,ZNF224
cg03239514,greenyellow,MCM8
cg03239552,turquoise,HOXC13
cg03240511,grey,
cg03242265,grey,
cg03242360,black,VASP
cg03242819,grey,DOCK1
cg03243432,turquoise,NDUFB7
cg03243497,turquoise,BAT3
cg03244494,grey,CRYL1
cg03245748,turquoise,IMP4
cg03246273,turquoise,MED13
cg03248767,grey,DHRS7C
cg03249985,turquoise,WDR62
cg03250220,grey,NCRNA00116
cg03251054,turquoise,ATMIN
cg03251655,grey,SLFN12
cg03252340,turquoise,HNRNPD
cg03252536,blue,AATF
cg03254875,turquoise,ZMYND11
cg03255741,turquoise,SMAD4
cg03255942,grey,SRRM1
cg03256090,grey,
cg03257200,turquoise,CLN5
cg03257341,turquoise,WNT1
cg03259494,blue,PHOSPHO1
cg03261004,turquoise,LOC100289341
cg03263514,turquoise,GP1BB
cg03264133,grey,
cg03264156,grey,WHSC1
cg03264670,yellow,XBP1
cg03265892,blue,VTA1
cg03266380,turquoise,ENTPD4
cg03269060,grey,RARRES1
cg03269218,grey,
cg03271093,grey,
cg03271651,grey,POGZ
cg03274391,grey,
cg03274739,tan,
cg03275067,grey,MIR548G
cg03277550,grey,AFG3L1
cg03282336,turquoise,ARL5B
cg03283048,blue,FLYWCH2
cg03286202,turquoise,RNF121
cg03286899,turquoise,SFRS3
cg03287299,grey,LOC149837
cg03288922,grey,
cg03291960,turquoise,FAM126A
cg03292213,grey,PLD6
cg03293206,grey,ANKRD26P1
cg03294458,grey,WNK4
cg03294547,grey,TMEM87A
cg03295096,turquoise,ITGA6
cg03297163,grey,
cg03297569,blue,RAB30
cg03298319,turquoise,
cg03299479,grey,
cg03299782,grey,TTC15
cg03299990,grey,
cg03300581,turquoise,CNR1
cg03301582,grey,PON3
cg03301945,turquoise,ILF3
cg03303757,grey,SRM
cg03304380,grey,DLC1
cg03307092,turquoise,ZNF252
cg03307401,yellow,KLK13
cg03309180,grey,PRICKLE1
cg03311064,turquoise,ANKHD1
cg03312059,grey,MAML2
cg03312856,grey,TAF1C
cg03314029,grey,ZNF469
cg03314166,turquoise,INO80C
cg03315007,turquoise,C1orf86
cg03315407,turquoise,ANKH
cg03315484,turquoise,KDM3B
cg03318121,blue,HACL1
cg03320492,turquoise,C1orf228
cg03322334,turquoise,WBSCR27
cg03322619,turquoise,LOC100302652
cg03323092,turquoise,IFT52
cg03324837,blue,
cg03326059,grey,FAR1
cg03326215,grey,MYT1L
cg03326335,grey,SORCS2
cg03327164,turquoise,MIR760
cg03327386,blue,RAB12
cg03327615,turquoise,C3orf58
cg03329576,turquoise,
cg03329597,grey,MYH15
cg03331258,grey,KIF2C
cg03333149,grey,
cg03335125,grey,CCDC17
cg03336167,grey,SLC22A18
cg03337277,grey,SCAND2
cg03337507,blue,COL13A1
cg03338209,grey,CARD10
cg03338380,turquoise,PSEN2
cg03341469,grey,YIPF1
cg03342084,turquoise,ALKBH3
cg03342130,blue,
cg03343083,grey,LEPREL1
cg03343571,grey,RNF39
cg03345454,grey,FZD7
cg03346523,grey,QSER1
cg03346802,turquoise,CSNK2A1
cg03348149,turquoise,C1orf112
cg03348901,turquoise,AGPAT6
cg03349950,grey,
cg03351412,turquoise,PMVK
cg03355298,turquoise,B2M
cg03357180,turquoise,IGFBP7
cg03357803,grey,OCA2
cg03359731,blue,OCIAD1
cg03359964,turquoise,
cg03361575,turquoise,MALT1
cg03361665,turquoise,WIZ
cg03363289,grey,LHX6
cg03363478,grey,
cg03363567,turquoise,DHX40
cg03365278,turquoise,FAM111A
cg03366858,grey,LRP8
cg03366925,blue,GLI3
cg03369477,grey,ASAM
cg03372365,turquoise,RNGTT
cg03376183,turquoise,MAP3K3
cg03379477,grey,RPH3AL
cg03381515,grey,LAPTM4A
cg03382370,grey,LOC146336
cg03383873,turquoise,RUFY2
cg03384545,turquoise,STAT5B
cg03384979,turquoise,GJA3
cg03384992,turquoise,OSBPL1A
cg03385233,turquoise,PDIA5
cg03387311,brown,PLD6
cg03390569,blue,LOC100302652
cg03392046,turquoise,CCDC75
cg03392386,grey,IGSF9B
cg03392673,blue,OLFML2B
cg03393996,grey,
cg03394150,turquoise,GSG1L
cg03396347,grey,
cg03399598,yellow,GALNT7
cg03400443,grey,
cg03402001,turquoise,ZNF598
cg03405315,grey,STK33
cg03410815,turquoise,WRN
cg03414321,turquoise,HCK
cg03414471,brown,VGLL4
cg03416888,turquoise,PSMA7
cg03417191,turquoise,MAP6D1
cg03418154,turquoise,APH1B
cg03419278,blue,SMAGP
cg03420356,turquoise,LOC730101
cg03420670,turquoise,DDI2
cg03423038,turquoise,NLE1
cg03423112,grey,CTSF
cg03424772,grey,ACVR1C
cg03429968,grey,EPB41
cg03431741,blue,FOXP4
cg03431989,grey,YPEL2
cg03433033,grey,ACADM
cg03434432,turquoise,PPT2
cg03435608,blue,CHMP2B
cg03435735,grey,SMYD3
cg03436149,grey,STIP1
cg03436453,turquoise,WASF2
cg03436530,turquoise,GLCCI1
cg03437748,grey,IGF1R
cg03438692,turquoise,SNORD27
cg03441227,turquoise,PHTF1
cg03442350,lightcyan,
cg03443112,grey,
cg03445587,grey,LEKR1
cg03446079,grey,FZD2
cg03446203,turquoise,C6orf48
cg03447435,turquoise,PCDHGA2
cg03447554,grey,
cg03448241,brown,FAM55C
cg03449387,blue,ABCC5
cg03449857,lightgreen,
cg03450049,turquoise,SBF1
cg03451212,turquoise,SLCO5A1
cg03451296,turquoise,CRIP2
cg03453431,grey,
cg03454353,grey,ZFP37
cg03455316,grey,
cg03456771,grey,
cg03456872,grey,ZNRF3
cg03461641,grey,
cg03464336,black,UBE3A
cg03464685,grey,EI24
cg03465782,grey,ENTPD5
cg03467027,grey,C4orf37
cg03468382,turquoise,KIF11
cg03468945,blue,OAT
cg03469521,grey,CA7
cg03469608,turquoise,SLC25A11
cg03469862,grey,
cg03470736,turquoise,C1orf66
cg03470939,brown,CAPZB
cg03471705,turquoise,GTF2A1
cg03474133,turquoise,CCNI
cg03475420,turquoise,RTN4R
cg03475660,turquoise,TMEM231
cg03475776,grey,HDAC4
cg03477008,grey,CPPED1
cg03477476,turquoise,RPS19
cg03482087,blue,MFSD8
cg03485262,turquoise,RIN3
cg03485608,grey,NXPH2
cg03486485,blue,
cg03486540,turquoise,ZNF224
cg03486986,grey,
cg03487200,grey,RBBP6
cg03490460,brown,RASA3
cg03490711,turquoise,BCL6
cg03492495,grey,FIG4
cg03493639,black,MTMR2
cg03494429,grey,
cg03494648,turquoise,C11orf21
cg03496359,grey,TBCD
cg03496709,grey,LOC387647
cg03498886,grey,TMEM151B
cg03499943,grey,LHPP
cg03500911,turquoise,SMAD4
cg03500965,turquoise,SCML4
cg03501539,grey,
cg03503796,turquoise,ATXN7
cg03505583,turquoise,BCL6
cg03506045,turquoise,CNO
cg03508928,turquoise,KIF9
cg03511311,blue,CUTA
cg03511806,turquoise,MAST4
cg03512355,blue,RNF34
cg03513606,grey,
cg03517024,grey,TRAF7
cg03517284,grey,
cg03519711,turquoise,CYR61
cg03523193,turquoise,CAPZA1
cg03523363,turquoise,SPATA2
cg03528137,grey,
cg03530437,grey,NPHP4
cg03532510,turquoise,CNIH4
cg03535985,grey,SNX29
cg03536466,grey,ANKS3
cg03537301,turquoise,MIER3
cg03539039,turquoise,EHD4
cg03539765,grey,LOC144571
cg03540622,grey,ZBTB47
cg03544320,grey,CRMP1
cg03547245,turquoise,MSI2
cg03547487,turquoise,CBX3
cg03548062,brown,
cg03550075,grey,SFRS8
cg03552317,grey,
cg03552658,turquoise,CHMP2A
cg03553914,grey,BRSK2
cg03554196,grey,
cg03555012,grey,
cg03555424,turquoise,APEH
cg03556393,turquoise,HOXC10
cg03558120,grey,
cg03559815,turquoise,CEP164
cg03562565,turquoise,PLXDC2
cg03563329,turquoise,IQCB1
cg03565189,grey,ANO1
cg03565777,grey,
cg03565782,green,IER5
cg03568042,grey,LDB3
cg03569616,turquoise,ATM
cg03570035,grey,ZNF486
cg03570858,grey,MIR636
cg03571129,turquoise,ZC3H6
cg03575163,turquoise,C10orf26
cg03578013,grey,LOC152024
cg03578331,turquoise,RBMS1
cg03578822,grey,WDR1
cg03578886,turquoise,PDP1
cg03579179,grey,VWDE
cg03582157,turquoise,
cg03582419,grey,
cg03582793,grey,ZBTB38
cg03584288,blue,ZNF829
cg03585454,turquoise,SAFB2
cg03585549,turquoise,PLCL2
cg03590420,grey,OPCML
cg03591419,grey,SOCS4
cg03592940,turquoise,DGUOK
cg03595199,grey,IDO2
cg03595538,turquoise,TMEM146
cg03595792,grey,PGM2L1
cg03597143,turquoise,LRRC41
cg03597347,grey,ZSCAN12L1
cg03601372,grey,
cg03603035,grey,
cg03603062,grey,PDK4
cg03603977,salmon,DLGAP3
cg03604073,grey,GRLF1
cg03604322,grey,SLC5A1
cg03604840,turquoise,EIF4E3
cg03605037,turquoise,GPR108
cg03605463,grey,
cg03605784,turquoise,SNRNP40
cg03606898,grey,
cg03607054,grey,C2orf44
cg03607220,grey,HLA-DRB6
cg03607813,grey,
cg03607825,turquoise,HCFC1R1
cg03609493,turquoise,MIR572
cg03611452,grey,ZNF781
cg03611598,grey,MYCBPAP
cg03613822,grey,DLG4
cg03616189,turquoise,
cg03618257,turquoise,COX15
cg03618937,turquoise,FAM189B
cg03619568,grey,
cg03621881,green,BRUNOL6
cg03621988,blue,SIDT1
cg03623401,grey,
cg03623568,grey,A2BP1
cg03628897,blue,C21orf33
cg03629458,turquoise,C3orf75
cg03631331,turquoise,C11orf9
cg03631596,blue,C13orf37
cg03632357,grey,PWWP2A
cg03635442,grey,
cg03636880,grey,HLA-DPB1
cg03639396,grey,DCUN1D2
cg03641439,turquoise,C5orf15
cg03642635,grey,IGSF9B
cg03644281,grey,NFYA
cg03646291,grey,
cg03648679,turquoise,ANKRD11
cg03648908,grey,ITPR1
cg03649288,grey,LOC646405
cg03649649,turquoise,
cg03650154,blue,ZNF480
cg03650397,turquoise,EZR
cg03651054,grey,
cg03651199,grey,SKI
cg03651613,grey,TMEM120B
cg03652890,turquoise,GATSL3
cg03653399,grey,SLC45A4
cg03654560,grey,
cg03655662,turquoise,TMEM183A
cg03656137,grey,C3orf26
cg03656968,turquoise,RDH13
cg03657314,salmon,MGC23284
cg03658009,turquoise,C20orf26
cg03658282,blue,BAT2
cg03658716,grey,CD3EAP
cg03662843,turquoise,TSPAN33
cg03663746,turquoise,C7orf13
cg03664802,turquoise,EPC2
cg03664916,grey,
cg03667862,turquoise,
cg03668495,turquoise,SPRYD3
cg03669949,grey,DDX43
cg03670441,turquoise,FGFR1OP2
cg03671191,turquoise,NCRNA00085
cg03673016,grey,GNAS
cg03673368,turquoise,STT3B
cg03676636,grey,C4orf37
cg03680680,grey,DIP2C
cg03680873,grey,
cg03682112,grey,KCNG2
cg03683171,yellow,PFKFB3
cg03684893,grey,DIP2C
cg03686964,grey,
cg03687532,grey,
cg03689076,turquoise,
cg03689456,turquoise,HNRNPA1
cg03691735,turquoise,FZD7
cg03695448,brown,BUD31
cg03697316,blue,LZTR1
cg03699307,blue,GABARAPL2
cg03700135,grey,NXN
cg03700279,grey,PREPL
cg03701001,grey,SLC4A8
cg03701427,turquoise,DYDC1
cg03701930,grey,
cg03702435,grey,LTB
cg03702675,grey,TUBGCP3
cg03705042,turquoise,PIGW
cg03705879,turquoise,MRPL27
cg03705947,yellow,GADD45A
cg03711791,grey,KCNG1
cg03712579,turquoise,NPTN
cg03713585,grey,CHN1
cg03714522,grey,AGAP3
cg03716245,grey,MDN1
cg03716984,grey,
cg03722586,turquoise,YPEL1
cg03723556,turquoise,
cg03727229,turquoise,PHLDB1
cg03727359,turquoise,
cg03727554,brown,MAD1L1
cg03727754,grey,CACNA1C
cg03728813,turquoise,SFPQ
cg03733263,turquoise,KIAA1967
cg03735496,grey,GREB1L
cg03735847,turquoise,SAMD11
cg03735888,turquoise,ZNF132
cg03736562,turquoise,CCNC
cg03738707,grey,
cg03740159,turquoise,SRPK2
cg03741458,grey,
cg03741657,turquoise,PRDX5
cg03742214,turquoise,CRY1
cg03742620,grey,FUBP1
cg03743981,grey,C19orf47
cg03744724,blue,GYS1
cg03745386,turquoise,ERGIC2
cg03746133,turquoise,SMCHD1
cg03747028,turquoise,TAF12
cg03747251,turquoise,BDNF
cg03747695,turquoise,ZNF227
cg03748376,grey,OR2L13
cg03749207,grey,PRR25
cg03754311,turquoise,FAM43B
cg03755098,turquoise,CTH
cg03758011,turquoise,DMWD
cg03758392,yellow,C3orf70
cg03758774,blue,BRD2
cg03760927,grey,LNP1
cg03761846,purple,C11orf54
cg03762505,blue,METTL13
cg03767932,turquoise,AMD1
cg03768925,turquoise,MYSM1
cg03770318,turquoise,NR2F2
cg03771121,blue,CARHSP1
cg03771255,turquoise,RPS3A
cg03772408,brown,COQ7
cg03773226,grey,CACNB1
cg03774803,grey,BOLL
cg03775416,grey,HAPLN4
cg03775991,grey,
cg03778669,turquoise,
cg03780338,blue,
cg03781731,grey,WBSCR27
cg03782956,purple,HMGN4
cg03786336,turquoise,HES1
cg03787837,grey,HLA-DQA1
cg03789575,grey,PDCD6IP
cg03789645,turquoise,CUL1
cg03801902,turquoise,CCND2
cg03803858,blue,VPS4B
cg03804148,grey,PITPNA
cg03807316,grey,DLL3
cg03808001,grey,
cg03808172,turquoise,SHFM1
cg03809147,turquoise,
cg03818977,blue,
cg03823904,grey,SEMA3C
cg03826535,blue,TPCN1
cg03826594,turquoise,ITGA5
cg03826601,blue,M6PR
cg03827423,turquoise,ISCU
cg03829176,grey,GBE1
cg03829194,grey,
cg03830585,turquoise,ITPR1
cg03831912,grey,ZNF778
cg03833077,turquoise,OLFM2
cg03834411,grey,JPH3
cg03837827,turquoise,HNRNPH1
cg03839554,grey,ACTL6A
cg03839794,grey,NPAS3
cg03841065,turquoise,SLA2
cg03841667,blue,PMM1
cg03842440,grey,PDZRN4
cg03844381,turquoise,ARHGEF7
cg03846704,turquoise,CLEC16A
cg03847052,brown,ANKRD11
cg03847190,grey,
cg03847533,turquoise,RNF6
cg03847932,grey,PPP4R2
cg03848555,grey,C9orf40
cg03849685,grey,KIAA0101
cg03849834,grey,TREML4
cg03850334,turquoise,EEF1G
cg03850936,grey,
cg03853620,grey,PDK4
cg03853794,turquoise,
cg03856748,yellow,DDX6
cg03859395,turquoise,SMEK2
cg03859684,blue,ANKRD10
cg03860051,turquoise,IKZF5
cg03860256,grey,MOV10L1
cg03861593,turquoise,FOXO3
cg03861798,grey,BRI3BP
cg03863817,grey,
cg03866757,turquoise,C5orf41
cg03867465,grey,MGC45800
cg03870370,turquoise,IMMT
cg03876184,blue,SUPT7L
cg03879918,grey,EBF3
cg03880033,grey,CES1
cg03881544,turquoise,EVC2
cg03881961,turquoise,APLP2
cg03883519,blue,MFSD8
cg03891574,brown,
cg03891929,turquoise,PTEN
cg03893180,turquoise,RP9
cg03894339,grey,INTS10
cg03896436,blue,
cg03896792,turquoise,CDK17
cg03898805,turquoise,MIR548G
