gene,eQTL_MR_FDR,eQTL_MR_OR,eQTL_MR_direction,mQTL_MR_pval,mQTL_MR_beta,mQTL_candidate_cpg
MYD88,0.934219597,0.92,protective,,,
MYLK,0.818909539,0.9,protective,0.3160642,0.0340984,cg18731398
NACC1,0.942735071,1.04,risk,0.6170075,0.0192404,cg16671682
NADK,0.910697707,1.07,risk,0.3087315,-0.0322958,cg18947110
NAMPT,0.929258494,0.93,protective,,,
NANOG,,,,0.6188005,0.0136054,cg01663696
NBN,0.708164723,0.96,protective,,,
NBR1,0.872852286,1.05,risk,0.5444499,-0.00601748,cg05368731
NCAPG2,0.967486521,1.01,risk,0.4302308,0.0271225,cg17906105
NCAPH2,0.746186999,0.82,protective,,,
NDRG1,0.590354538,1.08,risk,0.3120534,0.00959821,cg14044167
NDST2,0.816294904,1.04,risk,0.2445144,0.0810386,cg16540259
NEDD4,0.820660843,1.03,risk,0.2437879,0.0337242,cg20929476
NEK1,0.789369184,0.95,protective,0.2440412,0.0541272,cg04384893
NEK2,,,,0.2272559,0.0710741,cg21395147
NEK4,0.205743429,0.58,protective,0.002956404,-0.039502,cg10802521
NEK6,0.71606514,1.03,risk,1.27e-06,-0.0625863,cg13512951
NEK9,0.891964871,0.88,protective,0.008433257,-0.0797435,cg09945151
NF1,0.748654187,1.06,risk,0.05187546,0.129368,cg06729676
NF2,,,,0.3215577,-0.0600753,cg10400825
NFE2L2,0.443020581,1.62,risk,0.4141012,-0.0214113,cg26271591
NFKB2,,,,0.06600698,-0.0243714,cg23779220
NFKBIA,0.721115404,1.05,risk,0.4085324,0.0118496,cg16518861
NHEJ1,,,,0.1355418,0.0629577,cg08530484
NINJ1,0.795923717,1.03,risk,0.02993137,-0.0804063,cg13538006
NIPA2,0.308938459,1.14,risk,0.01290082,-0.102913,cg27514038
NLK,,,,0.4246323,0.0517795,cg15704699
NLRX1,0.188827381,0.52,protective,0.9840926,-0.00152596,cg03029752
NOLC1,,,,0.114533,0.0403945,cg16657244
NOTCH1,0.876005307,1.06,risk,0.0327101,-0.0230938,cg12076931
NOTCH3,,,,0.04909387,-0.0407718,cg14696996
NOX4,,,,0.4403284,0.00914823,cg25638870
NPM1,,,,0.8346972,0.0127235,cg02478379
NQO1,0.919469261,0.98,protective,,,
NR1H2,0.935987549,1.09,risk,0.861608,0.00644866,cg24440997
NR2E1,,,,0.1734515,-0.111307,cg22476027
NRAS,0.809596868,1.28,risk,,,
NRF1,0.971968716,1.04,risk,0.08979648,-0.0180951,cg14652524
NSUN2,0.959272702,1,protective,0.1107901,-0.078954,cg10459717
NTN4,,,,0.1831286,0.0486439,cg04923773
NUAK1,0.994099336,1,protective,0.3283388,0.0667702,cg05647733
NUAK2,0.723371152,1.05,risk,0.6226238,-0.0170218,cg01012936
NUDT5,0.965087088,0.99,protective,,,
NUTF2,,,,0.4677454,-0.0552114,cg16485385
OGG1,0.827227699,1.14,risk,0.03168046,-0.103281,cg25415932
OPA1,0.387578145,0.92,protective,0.07600702,-0.0701202,cg23144852
ORAI1,,,,0.2891731,-0.023963,cg01774878
OTX2,,,,0.4716209,-0.0355894,cg18241942
OXTR,0.950847414,0.95,protective,0.3347189,-0.0294711,cg11589699
P2RY14,0.766613529,1.05,risk,,,
P3H1,0.985279163,1,protective,,,
PAK2,0.607012329,1.15,risk,0.7594013,-0.0163138,cg06034459
PAK4,0.787194214,0.94,protective,0.1621455,0.0637291,cg15149491
PAPSS2,0.706499815,0.93,protective,0.05870773,-0.0420033,cg13926569
PARK7,0.224009864,0.92,protective,0.009008096,-0.128033,cg25007680
PARP1,0.84118829,0.97,protective,0.7983838,0.00971327,cg18590995
PATZ1,0.967215503,1.03,risk,0.8525962,-0.0167256,cg00930606
PAX8,0.671523686,1.03,risk,0.08134057,0.0989626,cg00354484
PBRM1,0.770571679,1.23,risk,,,
PCGF2,,,,0.3958545,-0.0619071,cg21692159
PDCD10,0.953389178,1.07,risk,0.05283264,-0.0470651,cg18801567
PDCD11,0.995221951,1.01,risk,,,
PDCD4,0.961974836,1.02,risk,,,
PDGFB,0.903273742,0.98,protective,0.0133162,-0.163215,cg20773033
PDIK1L,,,,0.06635138,0.101935,cg02957197
PDZD2,0.9848739,1.02,risk,0.06419382,-0.0185511,cg22461201
PEA15,0.630295546,0.95,protective,,,
PEBP1,0.871575596,1.02,risk,,,
PELP1,,,,0.8638823,0.0104626,cg23387401
PES1,0.948967185,0.97,protective,0.8266206,-0.00396871,cg06488842
PEX19,0.648817906,0.88,protective,,,
PGR,,,,0.6691242,0.00858238,cg27121959
PHB2,0.914444845,1.09,risk,0.02159894,0.0853277,cg15778232
PHGDH,0.950677856,1.01,risk,0.6194295,0.0261236,cg04086443
PIK3C2A,0.929258494,0.99,protective,,,
PIK3CA,0.787194214,1.14,risk,0.1389839,0.20446,cg24272902
PIK3R5,0.952822315,1.04,risk,0.1870082,0.013718,cg02823329
PIM1,0.958021994,1.02,risk,,,
PIN1,0.744305905,1.19,risk,,,
PINK1,0.799526612,1.06,risk,0.2026688,0.0433235,cg17183232
PINX1,,,,0.2754376,-0.0111862,cg16970850
PITX1,,,,0.3556498,0.0804888,cg22827250
PLA2G2A,,,,0.3728953,0.0379404,cg25755892
PLA2R1,,,,0.1606749,0.0750275,cg14032856
PLD2,0.659257798,1.04,risk,0.04745559,-0.0524853,cg04103918
PLK1,0.963880133,1.02,risk,,,
PML,0.965087088,0.99,protective,0.108398,-0.0560414,cg19394923
PMVK,0.376851835,1.2,risk,0.04057197,-0.0959987,cg23803022
PNPT1,0.859349464,1.06,risk,0.3005493,0.0293352,cg25620797
PON1,,,,0.5485628,-0.035263,cg05433222
POT1,,,,0.1987237,-0.0154798,cg05285228
POU3F1,,,,0.9853686,-0.00146295,cg12622182
POU5F1,,,,2.19e-34,-0.258233,cg22994781
PPARG,0.086610228,0.86,protective,6.82e-05,-0.329011,cg04908300
PPARGC1A,0.994973519,1,protective,0.4282934,0.0365138,cg27514608
PPIB,0.659257798,1.52,risk,,,
PPM1B,0.335677911,1.33,risk,0.2328308,-0.0693267,cg25371329
PPP1R13B,0.883263101,1.1,risk,0.6781941,0.03151,cg03586793
PPP2R1A,0.929668068,1.04,risk,0.8817414,0.0026226,cg04375683
PPP2R5A,0.771752399,0.98,protective,0.1926921,-0.0154313,cg07107916
PRKAA2,,,,0.834969,-0.0044228,cg09935045
PRKCD,0.977207774,0.99,protective,0.8789866,-0.00945406,cg13469346
PRKCH,0.955519411,1.06,risk,0.005767828,0.09418,cg15487261
PRKD1,0.698227912,0.95,protective,,,
PRKD2,0.828692732,0.97,protective,0.8291228,0.0107969,cg12541626
PRMT6,0.751363064,0.98,protective,0.2748218,-0.0158152,cg00944433
PRODH,,,,0.03471466,-0.0825438,cg03407228
PROX1,,,,0.9157237,0.00425769,cg26293546
PRPF19,0.43638568,0.85,protective,0.0405339,0.0283857,cg07588442
PSMA2,0.937800839,0.97,protective,,,
PSMB1,0.85719011,1.03,risk,0.03743968,-0.0684379,cg20402183
PSMB5,0.534569579,0.88,protective,,,
PTGS2,0.874398713,0.96,protective,0.4494895,0.0328951,cg25147026
PTK2,0.987685037,1.01,risk,0.5083986,0.0217692,cg03268399
PTPN1,0.671865319,0.93,protective,,,
PTTG1,0.946939128,1.03,risk,0.4270795,0.0331754,cg19619065
PURB,0.996920922,1,protective,0.3525586,-0.0640169,cg15243542
PYGL,0.803564488,1.05,risk,0.1042196,-0.0737427,cg08293102
RACGAP1,0.751363064,0.86,protective,,,
RAD21,0.973306119,1,protective,,,
RAD23B,0.958833222,0.98,protective,0.6215473,-0.0135458,cg08134337
RAD51C,0.831900302,1.01,risk,,,
RAF1,0.080944263,1.29,risk,0.01936789,0.131561,cg09856107
RAN,0.776386377,0.87,protective,,,
RAP1GAP,0.888221466,0.99,protective,0.1364439,0.0363992,cg03132729
RAPGEF4,,,,0.08240071,0.0359346,cg02492567
RARB,0.871575596,1.14,risk,0.6348639,0.00515219,cg01697477
RASSF1,0.942735071,0.98,protective,0.5735923,0.0108317,cg06117233
RASSF4,0.340500435,1.1,risk,0.0943853,-0.0357582,cg01484915
RASSF5,,,,0.003205728,-0.16957,cg15585555
RB1,0.368097745,1.19,risk,0.02007551,0.0322326,cg24342013
RBBP4,0.81304903,0.72,protective,0.2946877,-0.0627077,cg13641837
RBL1,0.821042693,0.93,protective,,,
RBL2,0.797771126,1.02,risk,0.3485448,0.0433019,cg01016459
RBM38,0.821042693,1.18,risk,0.9531934,-0.00249084,cg09696044
RBM39,0.188827381,0.7,protective,,,
RBP1,,,,0.1310629,0.0416609,cg02925229
RBPJ,0.95184189,1.02,risk,0.3710773,-0.049813,cg01880437
RCC1,0.572850685,0.95,protective,,,
RECK,0.887857022,0.9,protective,0.181664,-0.0237407,cg13392078
RECQL4,,,,0.06806079,0.0174052,cg19787013
RELA,0.628763101,0.64,protective,,,
RELB,0.948353986,0.92,protective,0.7325063,0.0134015,cg18788725
RHOA,,,,0.7957377,-0.0172026,cg18094221
RNASEH2A,0.221985588,0.82,protective,,,
RNASEH2B,0.159401225,0.92,protective,0.03642395,-0.0485511,cg23579537
RNASEL,0.8743626,1.04,risk,0.4246796,0.042687,cg07098477
RPL11,0.824048768,1.1,risk,0.3953062,0.0234156,cg24406162
RPS14,0.985279163,1,protective,0.7619036,-0.00914894,cg23097826
RPS6KB1,0.886108249,1.08,risk,,,
RPS9,,,,0.08348631,-0.0361273,cg08363114
RPTOR,0.977207774,0.99,protective,0.02974289,0.0731216,cg16892887
RRAD,0.783748827,1.06,risk,0.1195153,-0.0659558,cg01266287
RRAS2,0.849203053,0.97,protective,0.2411751,0.0120712,cg19336497
RRM1,0.735538665,1.04,risk,0.2552273,-0.0235276,cg22027985
RRM2B,0.779192404,0.93,protective,0.3484325,0.0686592,cg13448378
RRP8,0.98180514,1.01,risk,,,
RTN4,0.790165216,1.04,risk,0.8485443,-0.00259048,cg09592903
RUNX1,0.427142164,1.6,risk,0.005112857,0.112007,cg03142697
RUVBL2,0.916288693,0.98,protective,,,
S100A6,0.771752399,1.17,risk,0.9107478,-0.00557368,cg01910639
SALL1,,,,0.3082473,0.0360586,cg27423760
SAMHD1,0.893350249,1.04,risk,0.1373457,-0.0782539,cg04410989
SAT2,0.91804291,0.98,protective,,,
SDC1,,,,0.2834881,0.0573639,cg01298991
SELENBP1,0.562694722,0.79,protective,0.01906421,-0.0993845,cg07680533
SELENOH,0.739087168,1.06,risk,,,
SENP1,0.583554008,1.21,risk,0.006201521,0.075364,cg23069305
SENP7,0.54150085,0.96,protective,0.04893784,-0.0295776,cg20575173
SERPINB2,0.980925934,1.01,risk,0.1064397,-0.0398722,cg23582644
SERPINE1,0.758060953,1.21,risk,0.2847961,0.04073,cg16617872
SETD1A,0.29871728,1.28,risk,,,
SFN,0.958021994,0.96,protective,0.4525672,0.0500454,cg13235717
SFRP1,0.613100654,1.33,risk,0.2381255,-0.0229238,cg25927227
SGK1,0.795595804,0.97,protective,0.4889526,-0.0273868,cg20393620
SIAH1,0.904696877,1.07,risk,0.7840126,0.0187847,cg03658003
SIK1,0.890084653,1.07,risk,0.05697994,-0.063102,cg19135247
SIN3B,0.959811144,0.99,protective,0.2833269,-0.011455,cg13829625
SIRT1,0.411708734,1.04,risk,0.05405998,-0.0289276,cg00972288
SIRT2,,,,0.2557278,0.0464328,cg12431401
SIRT3,0.9830642,1.01,risk,,,
SIRT6,0.967973749,1.02,risk,0.2644546,0.0719166,cg19489188
SIRT7,,,,0.07036767,0.125282,cg01768131
SIX1,,,,0.6086268,0.0290134,cg02583151
SKP2,0.925053617,0.97,protective,0.1185115,0.0200136,cg06653140
SLC13A3,,,,0.02926891,0.102756,cg12760968
SLC16A7,0.318826457,0.81,protective,,,
SLC31A2,0.938039449,1.02,risk,0.6967452,-0.0162526,cg14537179
SLC5A2,0.787194214,0.78,protective,0.3303549,0.0617632,cg13473336
SMAD1,0.59532119,1.24,risk,0.7637756,-0.0077326,cg07075512
SMAD2,0.993039357,1,protective,0.3589621,0.0320608,cg07912766
SMAD3,0.687823544,0.88,protective,0.01033124,-0.132656,cg03352169
SMAD5,0.398224626,1.04,risk,0.05981238,0.0452159,cg26818820
SMAD6,0.973321266,0.98,protective,0.2066551,-0.0656886,cg02263999
SMARCA2,0.910844917,1.06,risk,0.9585241,-0.00342676,cg13837335
SMARCA4,0.724196255,0.91,protective,0.104666,0.0567468,cg15001636
SMARCB1,0.774189601,0.97,protective,0.2429958,-0.0648959,cg19906397
SMARCD1,0.969587115,0.98,protective,0.4906206,-0.0145487,cg02399464
SMC2,0.756750067,0.93,protective,,,
SMG1,0.9999053,1,protective,0.7607545,-0.0045853,cg01079632
SMURF2,0.960812335,1.02,risk,,,
SNAI1,,,,0.7997801,0.013863,cg26873164
SOCS1,0.498061736,0.72,protective,0.06776404,0.104235,cg26301908
SOD1,0.943648098,0.96,protective,,,
SOD2,,,,0.005047198,-0.0422112,cg13221458
SORBS2,0.937800839,1.04,risk,0.00293813,0.0803024,cg26785346
SOX1,,,,0.2538894,-0.0530525,cg14842777
SOX4,0.71376381,1.22,risk,0.2255081,0.0605401,cg14499797
SOX5,,,,0.06007244,-0.0827492,cg02083559
SP1,0.985279163,1,protective,,,
SPAG9,0.943106167,1.04,risk,,,
SPARC,0.583217233,1.12,risk,0.1236368,-0.0973704,cg26389330
SPHK1,0.922007707,1.02,risk,,,
SPI1,0.825827251,0.97,protective,0.000294615,-0.195306,cg03711944
SPOP,0.975309952,0.95,protective,0.8704604,-0.0123147,cg05551217
SRC,,,,0.08838207,0.0331501,cg12807924
SREBF1,0.930763137,1.02,risk,0.4904504,-0.0402082,cg09796270
SRF,0.866728503,1.18,risk,0.8646818,-0.00605976,cg20227255
SRSF2,0.781798581,1.23,risk,,,
SRSF3,0.852277745,0.96,protective,,,
STAT1,0.508222918,0.69,protective,0.0106365,-0.205913,cg18766080
STAT3,0.926891558,0.96,protective,0.02934377,0.0517723,cg07780782
STAT5A,0.341001465,1.23,risk,0.03409841,0.118691,cg20388732
STAT5B,0.993800584,1,protective,0.03031251,-0.135233,cg19465320
STAT6,0.865499383,1.02,risk,,,
STIM1,0.729764078,1.1,risk,0.05664402,-0.0598817,cg26296653
STK32C,0.741094017,0.96,protective,0.0239195,0.120046,cg00462700
STK4,0.959571996,1.02,risk,,,
STK40,0.924655701,1.11,risk,0.5145843,-0.0621895,cg07787248
STN1,0.484042803,1.12,risk,,,
STUB1,,,,0.4664769,-0.0149649,cg04861096
SUMO2,0.928172292,0.97,protective,,,
SUMO3,0.805846807,1.06,risk,0.04042033,0.0997104,cg00850552
SUPT5H,0.421886311,0.83,protective,0.03676888,-0.0683459,cg17899476
SUZ12,0.592015265,1.43,risk,0.2415718,0.0295123,cg24413314
SYK,0.318406914,0.94,protective,0.09184035,-0.116207,cg13782919
SYT1,0.628617344,0.85,protective,0.1109997,0.070581,cg20375220
SYT7,,,,0.04074914,-0.11448,cg17683593
TACC3,0.985279163,1,protective,0.04337733,-0.0414269,cg15467503
TAGLN,0.665399067,1.02,risk,0.05544826,0.0304935,cg22692511
TBK1,0.401960098,1.1,risk,0.4031551,-0.0395876,cg16604658
TBPL1,0.437988567,1.11,risk,0.03558645,-0.044022,cg17040800
TBX2,,,,0.2475782,0.0768722,cg26660800
TBX3,,,,0.2816793,-0.0542336,cg16406892
TEAD1,,,,0.2610371,0.0331006,cg08756205
TEAD4,,,,0.5333685,0.0389739,cg13858685
TERF2,0.054908229,0.77,protective,0.02867415,0.170256,cg06469895
TERT,,,,0.3226175,-0.0619153,cg06817802
TFDP1,,,,0.2706919,0.0531148,cg00407988
TFG,0.921457752,0.99,protective,0.2941334,0.135247,cg10343442
TGFB1I1,0.82710426,0.89,protective,0.1294477,0.111443,cg03526468
TGFB2,0.161541843,1.88,risk,0.6256867,-0.0144232,cg18876728
TGFBI,0.868942642,0.98,protective,0.03513286,-0.0193045,cg17386240
TGFBR1,0.987369408,0.99,protective,0.7536474,-0.0035456,cg13431688
TGFBR2,0.994142877,1,protective,0.1704809,-0.0350723,cg05450916
THRB,0.963791072,0.95,protective,0.1245564,0.0984365,cg27622506
TIGAR,0.841563488,0.95,protective,,,
TIMELESS,0.400034548,1.41,risk,0.08090554,0.034383,cg09107438
TLR10,0.804266359,0.89,protective,0.06059575,0.0373271,cg25840354
TLR2,0.84179809,1.1,risk,0.7321984,-0.0232435,cg06618866
TLR3,0.868093213,0.94,protective,0.1941442,-0.0792868,cg00306510
TLR4,0.73236335,1.03,risk,0.8402992,0.0156789,cg13730105
TMEM9B,0.930387548,0.99,protective,0.2063481,0.0454735,cg24574546
TNFSF13,0.715020592,0.95,protective,0.01709801,0.129959,cg25324068
TOM1,0.103601554,0.94,protective,0.001194844,-0.104621,cg14983728
TOP3A,,,,0.6671139,-0.0200839,cg14410018
TOPBP1,0.824589297,0.92,protective,,,
TP53,0.688823487,1.22,risk,0.9844015,-0.00103337,cg08691422
TP53BP1,0.604123029,0.47,protective,0.7832846,-0.0152121,cg27340001
TP53BP2,0.680176964,0.9,protective,0.1896749,-0.0283769,cg11145399
TP53I3,0.822707691,0.98,protective,0.0715293,0.039158,cg03566479
TP53INP1,0.531779693,0.92,protective,0.07912037,0.0531217,cg26343298
TP63,0.318406914,0.71,protective,0.0040852,0.197795,cg13518031
TPP1,0.943106167,1.01,risk,0.4094639,0.0339784,cg25546539
TPR,0.596561025,1.1,risk,,,
TPX2,,,,0.08458782,0.035123,cg14372324
TRA2B,0.99873107,1,protective,,,
TRDMT1,0.994973519,1,protective,0.1760698,-0.0762324,cg19579782
TRIM28,0.625134869,1.15,risk,,,
TRPM7,0.771752399,0.88,protective,0.3261282,0.0453619,cg04844971
TRPM8,,,,0.2444546,0.0531157,cg08343899
TRRAP,0.839704534,1.08,risk,0.4015403,-0.0406819,cg10154880
TSC22D1,0.942735071,1.09,risk,0.3012516,-0.0294751,cg26756769
TTK,0.780193083,0.78,protective,0.2876379,0.0540382,cg01684562
TWIST1,,,,0.1122137,-0.0774426,cg27334919
TWIST2,,,,0.4581388,-0.0355175,cg19205847
TXN,0.962136282,1.01,risk,,,
TYK2,3.39e-06,0.72,protective,0.01126889,-0.060053,cg06622468
TYMS,0.972110029,1.02,risk,0.7609444,-0.0109614,cg15522677
UBE2C,0.960209581,1.04,risk,0.6248705,-0.0190706,cg00242976
UBE2I,0.910844917,1.02,risk,0.4438538,-0.0397032,cg02131513
UBE2N,0.77723366,1.22,risk,0.7277775,0.0123618,cg11084718
UBE2V1,,,,0.8308945,-0.0132032,cg26567359
UBE3A,,,,0.04148901,0.138881,cg25843698
UBTD1,0.958021994,0.95,protective,0.02955407,0.056831,cg25247692
UHRF1,,,,0.04113254,-0.0681985,cg03584056
ULK3,0.627070584,1.04,risk,0.1439064,-0.033916,cg04877966
USP1,0.583217233,0.86,protective,0.03634083,0.164694,cg10830713
USP28,0.698227912,0.81,protective,,,
UTP6,0.307052926,1.34,risk,,,
VCAN,0.742525167,0.78,protective,0.4417068,0.0201392,cg17599241
VDR,0.913218305,1.05,risk,0.07337224,-0.0528984,cg02714932
VEGFA,0.84141447,1.04,risk,,,
VENTX,0.743537025,0.93,protective,0.289607,0.0445092,cg18727936
WEE1,0.949446102,0.98,protective,,,
WIF1,,,,0.4006864,-0.057211,cg03509412
WIPI1,0.93175747,0.99,protective,0.7080179,0.0249779,cg06533196
WNT16,0.972110029,1.04,risk,0.155322,0.106023,cg22795239
WNT2,,,,0.2700232,-0.0919942,cg12365177
WNT5A,,,,0.134963,-0.0447091,cg01777121
WNT7B,,,,0.5063898,-0.0649447,cg07422735
WRN,0.64414706,1.07,risk,,,
WSB1,0.925024686,0.97,protective,0.7812053,0.00319233,cg07564598
WT1,,,,0.02241073,-0.165807,cg21769619
WWP1,0.504595747,0.95,protective,0.2492222,-0.0712838,cg10578717
XAF1,0.906880322,0.94,protective,0.1850857,-0.0414121,cg14321269
XPC,0.846942365,1.08,risk,0.06693058,0.0756172,cg09009275
XPO1,0.77934901,0.78,protective,0.7048091,0.0173753,cg15711740
YAP1,,,,0.9119691,0.00775347,cg08447142
YEATS4,0.975309952,1,protective,0.7878007,0.0160653,cg19645103
YPEL3,0.340500435,1.12,risk,0.03092542,0.0642235,cg26709300
YWHAB,0.744235758,0.88,protective,0.2443577,0.0696474,cg15324310
YWHAZ,0.910697707,1.03,risk,0.6893642,0.00803381,cg04962480
ZDHHC3,0.962676974,0.97,protective,0.5305353,0.0250182,cg11176525
ZEB1,0.913719188,1.11,risk,0.01575728,0.141462,cg13303654
ZMAT3,0.959571996,1.01,risk,0.7669053,-0.00427223,cg07266910
ZMPSTE24,0.873808783,1.06,risk,,,
ZMYND11,0.750057341,0.79,protective,0.5507677,0.0169847,cg06117597
ZNF148,0.913719188,1.05,risk,0.5196472,0.0262171,cg02970696
ZNF217,0.088193989,0.87,protective,0.4565958,-0.0135058,cg17098965
