gene,mQTL_MR_pval,mQTL_candidate_cpg,mQTL_cpg_chr,mQTL_cpg_pos_hg19,mQTL_MR_beta
PPP2R1A,0.8817414,cg04375683,chr19,52692431,0.0026226
PPP2R5A,0.1926921,cg07107916,chr1,212457424,-0.0154313
PRKAA2,0.834969,cg09935045,chr1,57111199,-0.0044228
PRKCD,0.8789866,cg13469346,chr3,53195186,-0.00945406
PRKCH,0.005767828,cg15487261,chr14,61946358,0.09418
PRKD2,0.8291228,cg12541626,chr19,47217900,0.0107969
PRMT6,0.2748218,cg00944433,chr1,107599041,-0.0158152
PRODH,0.03471466,cg03407228,chr22,18921705,-0.0825438
PROX1,0.9157237,cg26293546,chr1,214162659,0.00425769
PRPF19,0.0405339,cg07588442,chr11,60673866,0.0283857
PSMB1,0.03743968,cg20402183,chr6,170861823,-0.0684379
PTGS2,0.4494895,cg25147026,chr1,186650441,0.0328951
PTK2,0.5083986,cg03268399,chr8,141985597,0.0217692
PTTG1,0.4270795,cg19619065,chr5,159849010,0.0331754
PURB,0.3525586,cg15243542,chr7,44923719,-0.0640169
PYGL,0.1042196,cg08293102,chr14,51387478,-0.0737427
RAD23B,0.6215473,cg08134337,chr9,110046224,-0.0135458
RAF1,0.01936789,cg09856107,chr3,12701776,0.131561
RAP1GAP,0.1364439,cg03132729,chr1,21947437,0.0363992
RAPGEF4,0.08240071,cg02492567,chr2,173792437,0.0359346
RARB,0.6348639,cg01697477,chr3,25614606,0.00515219
RASSF1,0.5735923,cg06117233,chr3,50375613,0.0108317
RASSF4,0.0943853,cg01484915,chr10,45458834,-0.0357582
RASSF5,0.003205728,cg15585555,chr1,206732715,-0.16957
RB1,0.02007551,cg24342013,chr13,48891544,0.0322326
RBBP4,0.2946877,cg13641837,chr1,33116556,-0.0627077
RBL2,0.3485448,cg01016459,chr16,53468960,0.0433019
RBM38,0.9531934,cg09696044,chr20,55968294,-0.00249084
RBP1,0.1310629,cg02925229,chr3,139258948,0.0416609
RBPJ,0.3710773,cg01880437,chr4,26321873,-0.049813
RECK,0.181664,cg13392078,chr9,36036514,-0.0237407
RECQL4,0.06806079,cg19787013,chr8,145737513,0.0174052
RELB,0.7325063,cg18788725,chr19,45512122,0.0134015
RHOA,0.7957377,cg18094221,chr3,49448445,-0.0172026
RNASEH2B,0.03642395,cg23579537,chr13,51482661,-0.0485511
RNASEL,0.4246796,cg07098477,chr1,182548640,0.042687
RPL11,0.3953062,cg24406162,chr1,24017943,0.0234156
RPS14,0.7619036,cg23097826,chr5,149828748,-0.00914894
RPS9,0.08348631,cg08363114,chr19,54711292,-0.0361273
RPTOR,0.02974289,cg16892887,chr17,78892212,0.0731216
RRAD,0.1195153,cg01266287,chr16,66959833,-0.0659558
RRAS2,0.2411751,cg19336497,chr11,14380999,0.0120712
RRM1,0.2552273,cg22027985,chr11,4115532,-0.0235276
RRM2B,0.3484325,cg13448378,chr8,103250761,0.0686592
RTN4,0.8485443,cg09592903,chr2,55203963,-0.00259048
RUNX1,0.005112857,cg03142697,chr21,36258497,0.112007
S100A6,0.9107478,cg01910639,chr1,153507779,-0.00557368
SALL1,0.3082473,cg27423760,chr16,51186463,0.0360586
SAMHD1,0.1373457,cg04410989,chr20,35578437,-0.0782539
SDC1,0.2834881,cg01298991,chr2,20422849,0.0573639
SELENBP1,0.01906421,cg07680533,chr1,151345248,-0.0993845
SENP1,0.006201521,cg23069305,chr12,48500318,0.075364
SENP7,0.04893784,cg20575173,chr3,101228308,-0.0295776
SERPINB2,0.1064397,cg23582644,chr18,61557687,-0.0398722
SERPINE1,0.2847961,cg16617872,chr7,100774767,0.04073
SFN,0.4525672,cg13235717,chr1,27188505,0.0500454
SFRP1,0.2381255,cg25927227,chr8,41127218,-0.0229238
SGK1,0.4889526,cg20393620,chr6,134609828,-0.0273868
SIAH1,0.7840126,cg03658003,chr16,48407651,0.0187847
SIK1,0.05697994,cg19135247,chr21,44843568,-0.063102
SIN3B,0.2833269,cg13829625,chr19,16989699,-0.011455
SIRT1,0.05405998,cg00972288,chr10,69644348,-0.0289276
SIRT2,0.2557278,cg12431401,chr19,39369277,0.0464328
SIRT6,0.2644546,cg19489188,chr19,4183268,0.0719166
SIRT7,0.07036767,cg01768131,chr17,79869861,0.125282
SIX1,0.6086268,cg02583151,chr14,61116211,0.0290134
SKP2,0.1185115,cg06653140,chr5,36157329,0.0200136
SLC13A3,0.02926891,cg12760968,chr20,45192183,0.102756
SLC31A2,0.6967452,cg14537179,chr9,115915892,-0.0162526
SLC5A2,0.3303549,cg13473336,chr16,31494571,0.0617632
SMAD1,0.7637756,cg07075512,chr4,146402943,-0.0077326
SMAD2,0.3589621,cg07912766,chr18,45458698,0.0320608
SMAD3,0.01033124,cg03352169,chr15,67426538,-0.132656
SMAD5,0.05981238,cg26818820,chr5,135468000,0.0452159
SMAD6,0.2066551,cg02263999,chr15,66994432,-0.0656886
SMARCA2,0.9585241,cg13837335,chr9,2191798,-0.00342676
SMARCA4,0.104666,cg15001636,chr19,11144178,0.0567468
SMARCB1,0.2429958,cg19906397,chr22,24129020,-0.0648959
SMARCD1,0.4906206,cg02399464,chr12,50482541,-0.0145487
SMG1,0.7607545,cg01079632,chr16,18872929,-0.0045853
SNAI1,0.7997801,cg26873164,chr20,48598975,0.013863
SOCS1,0.06776404,cg26301908,chr16,11350915,0.104235
SOD2,0.005047198,cg13221458,chr6,160112632,-0.0422112
SORBS2,0.00293813,cg26785346,chr4,186732936,0.0803024
SOX1,0.2538894,cg14842777,chr13,112723226,-0.0530525
SOX4,0.2255081,cg14499797,chr6,21594038,0.0605401
SOX5,0.06007244,cg02083559,chr12,24103358,-0.0827492
SPARC,0.1236368,cg26389330,chr5,151057860,-0.0973704
SPI1,0.000294615,cg03711944,chr11,47377212,-0.195306
SPOP,0.8704604,cg05551217,chr17,47754245,-0.0123147
SRC,0.08838207,cg12807924,chr20,36013546,0.0331501
SREBF1,0.4904504,cg09796270,chr17,17721594,-0.0402082
SRF,0.8646818,cg20227255,chr6,43142086,-0.00605976
STAT1,0.0106365,cg18766080,chr2,191879342,-0.205913
STAT3,0.02934377,cg07780782,chr17,40465546,0.0517723
STAT5A,0.03409841,cg20388732,chr17,40439433,0.118691
STAT5B,0.03031251,cg19465320,chr17,40426890,-0.135233
STIM1,0.05664402,cg26296653,chr11,3899234,-0.0598817
STK32C,0.0239195,cg00462700,chr10,134021845,0.120046
STK40,0.5145843,cg07787248,chr1,36851643,-0.0621895
STUB1,0.4664769,cg04861096,chr16,729354,-0.0149649
SUMO3,0.04042033,cg00850552,chr21,46236351,0.0997104
SUPT5H,0.03676888,cg17899476,chr19,39967276,-0.0683459
SUZ12,0.2415718,cg24413314,chr17,30289687,0.0295123
SYK,0.09184035,cg13782919,chr9,93588842,-0.116207
SYT1,0.1109997,cg20375220,chr12,79257667,0.070581
SYT7,0.04074914,cg17683593,chr11,61283872,-0.11448
TACC3,0.04337733,cg15467503,chr4,1727234,-0.0414269
TAGLN,0.05544826,cg22692511,chr11,117069966,0.0304935
TBK1,0.4031551,cg16604658,chr12,64847188,-0.0395876
TBPL1,0.03558645,cg17040800,chr6,134274286,-0.044022
TBX2,0.2475782,cg26660800,chr17,59480926,0.0768722
TBX3,0.2816793,cg16406892,chr12,115118777,-0.0542336
TEAD1,0.2610371,cg08756205,chr11,12703573,0.0331006
TEAD4,0.5333685,cg13858685,chr12,3085618,0.0389739
TERF2,0.02867415,cg06469895,chr16,69418206,0.170256
TERT,0.3226175,cg06817802,chr5,1291319,-0.0619153
TFDP1,0.2706919,cg00407988,chr13,114282280,0.0531148
TFG,0.2941334,cg10343442,chr3,100428642,0.135247
TGFB1I1,0.1294477,cg03526468,chr16,31484571,0.111443
TGFB2,0.6256867,cg18876728,chr1,218557095,-0.0144232
TGFBI,0.03513286,cg17386240,chr5,135384080,-0.0193045
TGFBR1,0.7536474,cg13431688,chr9,101869277,-0.0035456
TGFBR2,0.1704809,cg05450916,chr3,30684783,-0.0350723
THRB,0.1245564,cg27622506,chr3,24537160,0.0984365
TIMELESS,0.08090554,cg09107438,chr12,56819060,0.034383
TLR10,0.06059575,cg25840354,chr4,38784158,0.0373271
TLR2,0.7321984,cg06618866,chr4,154605087,-0.0232435
TLR3,0.1941442,cg00306510,chr4,187003000,-0.0792868
TLR4,0.8402992,cg13730105,chr9,120466837,0.0156789
TMEM9B,0.2063481,cg24574546,chr11,8969269,0.0454735
TNFSF13,0.01709801,cg25324068,chr17,7462249,0.129959
TOM1,0.001194844,cg14983728,chr22,35695234,-0.104621
TOP3A,0.6671139,cg14410018,chr17,18177546,-0.0200839
TP53,0.9844015,cg08691422,chr17,7588787,-0.00103337
TP53BP1,0.7832846,cg27340001,chr15,43786010,-0.0152121
TP53BP2,0.1896749,cg11145399,chr1,224034478,-0.0283769
TP53I3,0.0715293,cg03566479,chr2,24307957,0.039158
TP53INP1,0.07912037,cg26343298,chr8,95960752,0.0531217
TP63,0.0040852,cg13518031,chr3,189506825,0.197795
TPP1,0.4094639,cg25546539,chr11,6640996,0.0339784
TPX2,0.08458782,cg14372324,chr20,30347798,0.035123
TRDMT1,0.1760698,cg19579782,chr10,17243880,-0.0762324
TRPM7,0.3261282,cg04844971,chr15,50979486,0.0453619
TRPM8,0.2444546,cg08343899,chr2,234847554,0.0531157
TRRAP,0.4015403,cg10154880,chr7,98603502,-0.0406819
TSC22D1,0.3012516,cg26756769,chr13,45149661,-0.0294751
TTK,0.2876379,cg01684562,chr6,80713632,0.0540382
TWIST1,0.1122137,cg27334919,chr7,19158378,-0.0774426
TWIST2,0.4581388,cg19205847,chr2,239800268,-0.0355175
TYK2,0.01126889,cg06622468,chr19,10491460,-0.060053
TYMS,0.7609444,cg15522677,chr18,658883,-0.0109614
UBE2C,0.6248705,cg00242976,chr20,44440824,-0.0190706
UBE2I,0.4438538,cg02131513,chr16,1358964,-0.0397032
UBE2N,0.7277775,cg11084718,chr12,93834066,0.0123618
UBE2V1,0.8308945,cg26567359,chr20,48730097,-0.0132032
UBE3A,0.04148901,cg25843698,chr15,25684804,0.138881
UBTD1,0.02955407,cg25247692,chr10,99313390,0.056831
UHRF1,0.04113254,cg03584056,chr19,4910798,-0.0681985
ULK3,0.1439064,cg04877966,chr15,75135169,-0.033916
USP1,0.03634083,cg10830713,chr1,62904021,0.164694
VCAN,0.4417068,cg17599241,chr5,82858676,0.0201392
VDR,0.07337224,cg02714932,chr12,48287192,-0.0528984
VENTX,0.289607,cg18727936,chr10,135051044,0.0445092
WIF1,0.4006864,cg03509412,chr12,65515021,-0.057211
WIPI1,0.7080179,cg06533196,chr17,66427630,0.0249779
WNT16,0.155322,cg22795239,chr7,120965378,0.106023
WNT2,0.2700232,cg12365177,chr7,116917934,-0.0919942
WNT5A,0.134963,cg01777121,chr3,55517224,-0.0447091
WNT7B,0.5063898,cg07422735,chr22,46323087,-0.0649447
WSB1,0.7812053,cg07564598,chr17,25619946,0.00319233
WT1,0.02241073,cg21769619,chr11,32454768,-0.165807
WWP1,0.2492222,cg10578717,chr8,87354562,-0.0712838
XAF1,0.1850857,cg14321269,chr17,6658198,-0.0414121
XPC,0.06693058,cg09009275,chr3,14220114,0.0756172
XPO1,0.7048091,cg15711740,chr2,61764176,0.0173753
YAP1,0.9119691,cg08447142,chr11,102074864,0.00775347
YEATS4,0.7878007,cg19645103,chr12,69753606,0.0160653
YPEL3,0.03092542,cg26709300,chr16,30106682,0.0642235
YWHAB,0.2443577,cg15324310,chr20,43514360,0.0696474
YWHAZ,0.6893642,cg04962480,chr8,101962118,0.00803381
ZDHHC3,0.5305353,cg11176525,chr3,45003829,0.0250182
ZEB1,0.01575728,cg13303654,chr10,31610754,0.141462
ZMAT3,0.7669053,cg07266910,chr3,178745575,-0.00427223
ZMYND11,0.5507677,cg06117597,chr10,243027,0.0169847
ZNF148,0.5196472,cg02970696,chr3,125076372,0.0262171
ZNF217,0.4565958,cg17098965,chr20,52199520,-0.0135058
